Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Avg,0.1821917808219178,8.807103825136613,0.9013698630136986,1.4224657534246576,0.3383561643835617,0.000273224043715847,0.012602739726027398,10.056712328767123,0.23506849315068493,0.16202185792349727,0.007945205479452055,0.23342465753424657,0.05671232876712329,0.4715846994535519,0.26,3.973424657534247,2.3742465753424655,0.5396174863387978,7.650767123287672,0.5194794520547945,0.20975342465753424,0.0,1.2311780821917808,0.06904109589041095,0.14334246575342466,1.871502732240437,0.10772602739726027,18.509479452054794,13.349479452054796,47.40245901639344,2.919890410958904,6.522712328767123,36.02682191780822,5.494207650273224,2.898602739726028,8.278465753424657,0.5171780821917809,0.7730327868852458,0.08531506849315068,0.0,4.547397260273972,1.0087704918032787,34.51526027397261,1.1793150684931506,18.555561643835617,0.9618032786885246,0.5622739726027398,8.893232876712329,0.23843835616438355,0.22745901639344263,0.15139726027397263,0.0,0.3047671232876712,0.19950819672131145,18.21641095890411,1.2900273972602743,0.0,1.3221857923497269,0.6976986301369863,5.614767123287671,4.65476712328767,0.11800546448087432,0.3541095890410959,0.15893150684931504,0.07432876712328766,0.37051912568306017
Std,3.3467851049272017,32.33258864262932,3.4214750143995287,9.492124461719431,1.3569335026747547,0.005219938025831369,0.06108667539080941,39.339938089901025,1.6335951807246405,0.5746514834150206,0.15158485940324062,0.5976488619011435,0.6928916078716498,5.153852737047861,1.115342566701321,22.00290094318375,18.145596689744647,3.441769919903443,29.422732222999215,3.7958420659063,1.9301212097705363,0.0,4.487415582729367,0.7911918603947867,2.302006106767295,27.704299890833724,1.0729876515046566,50.67236633108862,32.68099140030963,162.7626909490977,3.460690562022619,18.745334368542967,87.97793299152599,9.93624654537282,4.75629076942108,60.58125403670501,0.806833474738106,6.0878650985334275,0.40634787973112596,0.0,37.983309767541044,3.8698575067034935,133.70377525125872,5.853986705894252,62.06726219787168,1.4300989780374593,1.77846017174219,28.29183047701737,1.642747456276876,1.9112803885694483,1.2708465384837209,0.0,1.8431107602462635,1.6454289319661888,64.40082277612665,18.305041022859374,0.0,3.991681531863483,2.8500271889351083,26.503487695287607,19.569995940473568,0.523352590894866,4.189455660072829,1.5347936216514952,0.20941379727114712,3.068465379494013
CV,18.3695723804275,3.6711942182795587,3.7958613381636113,6.673007373897519,4.01037027106304,19.10497317454281,4.847094895140311,3.9118090290173195,6.949443367884543,3.5467528318701103,19.078784028338905,2.56035017129011,12.217653955224744,10.928795491074837,4.289779102697389,5.537515579026455,7.642675734775902,6.37816602878309,3.8457231476097706,7.307010991275774,9.201857909694954,nan,3.644814383586762,11.459723374765762,16.059484498663277,14.80323774770449,9.96033806712105,2.7376440521920418,2.4481097946691297,3.4336339153377806,1.1852124823020718,2.873855755660173,2.4420120429228898,1.8084949055172124,1.6408908693264528,7.317932554307373,1.5600689637093217,7.87529998962017,4.762908673791297,nan,8.352758202887385,3.836212040447113,3.87375827938005,4.96388697328703,3.3449411766251322,1.4868934320825808,3.1629779402908893,3.1812762433222552,6.889610726658161,8.402746212809827,8.394118468088275,nan,6.047603627201423,8.247425213634966,3.5353189451760683,14.189652918794694,nan,3.019001985167041,4.0848972118169895,4.720318245321767,4.204291089572542,4.434986067782379,11.830957956878782,9.656950041420373,2.8173990417975934,8.281530336220106
SP_Tim,nan,81.0,5.0,nan,nan,nan,nan,98.0,nan,nan,nan,nan,nan,nan,nan,3.0,345.0,358.0,63.0,66.0,nan,nan,86.0,nan,nan,nan,nan,68.0,94.0,57.0,69.0,95.0,68.0,1.0,13.0,79.0,71.0,nan,nan,nan,nan,nan,57.0,228.0,74.0,78.0,31.0,59.0,197.0,nan,nan,nan,nan,nan,61.0,295.0,nan,39.0,nan,28.0,61.0,nan,nan,64.0,65.0,12.0
SP_Mag,nan,68.0,10.0,nan,nan,nan,nan,290.0,nan,nan,nan,nan,nan,nan,nan,46.0,189.0,8.5,90.0,12.0,nan,nan,13.0,nan,nan,nan,nan,440.0,83.0,473.0,20.0,77.0,229.0,23.0,45.0,439.0,2.5,nan,nan,nan,nan,nan,298.0,6.5,670.0,8.2,18.0,141.0,28.0,nan,nan,nan,nan,nan,163.0,350.0,nan,15.6,nan,110.0,42.2,nan,nan,29.0,1.23,5.29
SP_Dur,nan,142.0,102.0,nan,nan,nan,nan,142.0,nan,nan,nan,nan,nan,nan,nan,223.0,274.0,233.0,56.0,61.0,nan,nan,59.0,nan,nan,nan,nan,68.0,147.0,55.0,68.0,141.0,176.0,247.0,206.0,137.0,56.0,nan,nan,nan,nan,nan,52.0,13.0,29.0,141.0,183.0,120.0,24.0,nan,nan,nan,nan,nan,171.0,182.0,nan,181.0,nan,84.0,64.0,nan,nan,160.0,38.0,47.0
SP_ROC,nan,0.1191683569979716,0.16666666666666663,nan,nan,nan,nan,0.1213235294117647,nan,nan,nan,nan,nan,nan,nan,0.10526315789473688,0.18181818181818185,0.33333333333333326,0.06458333333333333,0.16666666666666666,nan,nan,0.14583333333333337,nan,nan,nan,nan,0.125,0.15000000000000002,0.05714285714285714,0.08571428571428566,0.13043478260869565,0.06976744186046507,0.11602564102564103,0.10102040816326527,0.08166666666666669,0.16987179487179488,nan,nan,nan,nan,nan,0.06559139784946236,0.30555555555555547,0.06363636363636363,0.11596638655462181,0.1538461538461538,0.078125,nan,nan,nan,nan,nan,nan,0.0674242424242424,0.09677419354838701,nan,0.10338554880221094,nan,0.06929347826086965,0.06021367266065289,nan,nan,0.47619047619047616,0.6662958843159066,0.08403361344537805
DS_Tim,nan,223.0,107.0,nan,nan,nan,nan,240.0,nan,nan,nan,nan,nan,nan,nan,226.0,254.0,226.0,119.0,127.0,nan,nan,145.0,nan,nan,nan,nan,136.0,241.0,112.0,137.0,236.0,244.0,248.0,219.0,216.0,127.0,nan,nan,nan,nan,nan,109.0,241.0,103.0,219.0,214.0,179.0,221.0,nan,nan,nan,nan,nan,232.0,112.0,nan,220.0,nan,112.0,125.0,nan,nan,224.0,103.0,59.0
DS_Mag_10,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.07,2.9,0.0,0.034,3.2,0.736,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.03,0.13,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,0.0,0.0
DS_Mag_50,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.2,3.2,0.4,0.1,5.9,1.1,0.0,nan,nan,nan,nan,nan,nan,nan,0.21,0.12,1.5,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,0.0,0.0
