Year,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941
Avg,1596.775956284153,4001.504109589041,2812.8520547945204,4918.295890410959,1444.1584699453551,1199.372602739726,3960.945205479452,2714.6054794520546,3808.6420765027324,2681.8191780821917,2024.3945205479451,1821.6082191780822,1802.1612021857923,2201.6684931506848,3211.194520547945,2296.4520547945203,698.448087431694,1883.2493150684932,1608.495890410959,2686.956164383562,1594.77868852459,1213.958904109589,1199.7260273972602,777.9616438356164,2543.896174863388,1593.5232876712328,1131.0630136986301,2453.4575342465755,2555.1502732240438,3075.928767123288,4960.945205479452,1506.5508982035929,2519.909836065574,3575.6931506849314
Std,1294.4119026987235,4890.271058751785,3209.678133485968,5673.44707086208,2194.7425809750903,1264.6671805678973,3907.744391222966,2999.40357139208,3612.8953128051853,2912.2970551038316,2440.914055823183,2013.0390444432498,2264.610411427076,2156.9853079866657,4007.5552883970317,2176.1326651811423,687.224028095223,1936.710716874282,1724.3755901805466,2651.245867537229,1206.4683445170774,847.8871474137841,836.1464619077992,491.99768755168134,2528.384720573843,1201.6161594549085,549.8486804310251,2275.725359956707,1942.9999273945216,2829.052105229587,4989.936511223229,651.1698883219932,2174.7686077684093,3153.871567139011
CV,0.8106409027544109,1.2221082185153676,1.1410760576671835,1.1535391926954648,1.5197380527485576,1.054440611432193,0.9865686568491557,1.1049132531764845,0.9486045788063943,1.0859408713701786,1.2057501791510965,1.1050889116824154,1.2566081262211126,0.9797048532496936,1.2479951814669885,0.9476064003329937,0.9839300020453293,1.0283878514533507,1.0720422728217112,0.9867097583058169,0.7565114540333129,0.6984479825004372,0.6969478387676336,0.6324189520783632,0.9939024813815848,0.7540625033544032,0.4861344361646073,0.9275584876408111,0.7604249142430587,0.9197391485354234,1.0058439076714163,0.4322256148786253,0.8630342945777592,0.8820308215023653
SP_Tim,125.0,180.0,156.0,203.0,161.0,149.0,173.0,164.0,173.0,174.0,166.0,145.0,154.0,179.0,172.0,166.0,135.0,152.0,146.0,169.0,154.0,172.0,168.0,131.0,179.0,170.0,132.0,179.0,139.0,178.0,182.0,116.0,168.0,190.0
SP_Mag,7020.0,14600.0,10300.0,13300.0,15300.0,6610.0,13200.0,13800.0,13200.0,11700.0,9400.0,7800.0,9150.0,7240.0,12800.0,9150.0,3800.0,8900.0,6900.0,11200.0,4650.0,6650.0,4140.0,2510.0,10400.0,7240.0,2200.0,7010.0,7760.0,8760.0,14200.0,3600.0,7330.0,8560.0
SP_Dur,120.0,49.0,74.0,53.0,78.0,140.0,83.0,75.0,62.0,74.0,68.0,77.0,78.0,61.0,61.0,58.0,49.0,97.0,66.0,75.0,57.0,99.0,103.0,130.0,47.0,43.0,130.0,41.0,100.0,42.0,53.0,148.0,35.0,35.0
SP_ROC,0.08411214953271028,0.08304714222663578,0.060240963855421686,0.04633480924907196,0.11339955796274258,0.11354166666666667,0.05263157894736842,0.046511627906976744,0.05808080808080808,0.05221932114882506,0.07894021739130436,0.06168321186227695,0.07198710983571541,0.0728476821192053,0.07263922518159806,0.07642987249544628,0.1618346166722464,0.07720588235294118,0.09332754221184647,0.07703281027104136,0.07144773916543673,0.047058823529411764,0.04982108450316543,0.1005317154184078,0.0728476821192053,0.06872097599370328,0.057522935779816514,0.08333333333333333,0.06974903474903475,0.08256880733944955,0.07659665404811332,0.05045871559633028,0.07905194436559751,0.07539682539682539
DS_Tim,245.0,229.0,230.0,256.0,239.0,289.0,256.0,239.0,235.0,248.0,234.0,222.0,232.0,240.0,233.0,224.0,184.0,249.0,212.0,244.0,211.0,271.0,271.0,261.0,226.0,213.0,262.0,220.0,239.0,220.0,235.0,264.0,203.0,225.0
DS_Mag_10,250.0,340.0,346.0,385.0,290.0,170.0,450.5,384.7,608.0,305.0,nan,323.8,440.6,370.0,510.4,349.0,148.1,382.4,431.40000000000003,730.0,457.5,357.6,351.5,98.80000000000001,505.7,416.0,305.6,787.0,779.8,800.0,0.0,384.6,652.0,625.5
DS_Mag_50,360.0,483.0,420.0,495.0,350.0,297.5,577.0,488.0,768.0,364.0,nan,400.0,700.0,608.0,891.5,530.0,307.0,654.0,620.0,940.0,730.0,467.0,543.0,202.0,976.5,1050.0,720.0,1130.0,1080.0,1160.0,1330.0,700.0,1090.0,1170.0
