Year,1959,1960,1961,1962,1963,1964,1965,1966,1967
Avg,590.5068493150685,894.2704918032787,571.6876712328767,1052.6027397260275,1734.3753424657534,740.2814207650273,1752.2356164383561,334.33698630136985,1692.1917808219177
Std,700.9693078167062,1775.711673093317,689.9465025807029,1474.672759053297,4436.972180479715,747.186954048062,4521.658700908174,283.95859022185016,1413.0980989275724
CV,1.1870638056607872,1.9856538814253275,1.206859159814999,1.4009775040459485,2.5582537250395245,1.0093282542143207,2.580508385110346,0.8493185075428393,0.8350697095581057
SP_Tim,137.0,102.0,144.0,129.0,144.0,142.0,1.0,106.0,177.0
SP_Mag,1790.0,4180.0,2340.0,4940.0,6520.0,2940.0,13500.0,1210.0,4500.0
SP_Dur,73.0,100.0,66.0,82.0,65.0,80.0,240.0,103.0,95.0
SP_ROC,0.04494949494949495,0.06598822324628775,0.06108293556085918,0.07611844222722884,0.05389221556886228,0.04054054054054054,0.05569724960363962,0.04371715241280459,0.08078090394553358
DS_Tim,210.0,202.0,210.0,211.0,209.0,222.0,241.0,209.0,272.0
DS_Mag_10,44.0,47.0,40.0,40.0,74.0,61.0,84.0,43.0,70.0
DS_Mag_50,49.0,69.0,66.0,46.0,99.0,80.5,280.0,85.0,132.0
DS_Dur_WSI,nan,117.0,87.0,nan,76.0,85.0,61.0,71.0,8.0
DS_Dur_WS,175.0,192.0,184.0,70.0,94.0,110.0,74.0,117.0,54.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSI_Tim,319.0,nan,319.0,295.0,nan,284.0,307.0,300.0,279.0
WSI_Mag,211.99900324186189,nan,302.99659994933904,272.98150996356634,nan,359.99058623207463,297.99610878421225,499.89426240716097,622.9214128971983
Wet_Tim,2.0,19.0,29.0,27.0,280.0,302.0,332.0,313.0,325.0
WSI_Dur,2.0,nan,4.0,3.0,nan,7.0,2.0,9.0,1.0
Wet_BFL_Mag,119.10000000000001,187.4,142.0,242.60000000000002,264.0,194.60000000000002,235.9,112.0,485.50000000000006
Peak_Tim_2,nan,130.0,nan,131.0,12.0,45.0,81.0,nan,112.0
Peak_Dur_2,nan,158.0,nan,216.0,229.0,45.0,115.0,nan,228.0
Peak_Fre_2,0.0,2.0,0.0,5.0,6.0,1.0,3.0,0.0,5.0
Peak_Mag_2,4930.0,4930.0,4930.0,4930.0,4930.0,4930.0,4930.0,4930.0,4930.0
Peak_Tim_5,101.0,130.0,nan,131.0,11.0,45.0,81.0,nan,66.0
Peak_Dur_5,139.0,188.0,nan,214.0,226.0,45.0,205.0,nan,269.0
Peak_Fre_5,2.0,5.0,0.0,6.0,7.0,1.0,6.0,0.0,10.0
Peak_Mag_5,3580.0,3580.0,3580.0,3580.0,3580.0,3580.0,3580.0,3580.0,3580.0
Peak_Tim_10,101.0,130.0,132.0,131.0,11.0,45.0,71.0,nan,62.0
Peak_Dur_10,138.0,222.0,221.0,241.0,210.0,223.0,227.0,nan,255.0
Peak_Fre_10,3.0,6.0,3.0,5.0,7.0,2.0,9.0,0.0,13.0
Peak_Mag_10,2507.0000000000027,2507.0000000000027,2507.0000000000027,2507.0000000000027,2507.0000000000027,2507.0000000000027,2507.0000000000027,2507.0000000000027,2507.0000000000027
Peak_Tim_20,101.0,129.0,132.0,131.0,11.0,36.0,71.0,nan,59.0
Peak_Dur_20,223.0,243.0,220.0,239.0,186.0,221.0,197.0,nan,285.0
Peak_Fre_20,5.0,6.0,7.0,4.0,7.0,8.0,5.0,0.0,9.0
Peak_Mag_20,1640.0,1640.0,1640.0,1640.0,1640.0,1640.0,1640.0,1640.0,1640.0
