Year,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Avg,1180.9725274725274,2680.415300546448,1735.827397260274,2550.3753424657534,1464.2164383561644,1604.139344262295,1942.4520547945206,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2206.8657534246577,1198.323287671233
Std,1538.2763453391187,5226.652492333204,2876.0615870318347,4322.683894716173,2706.5510783016466,3056.438427826878,3138.928814063175,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3283.3872705301196,1857.5446880459758
CV,1.302550490849503,1.9499412987486162,1.6568822404642525,1.6949206741219969,1.8484637977020781,1.905344718810859,1.6159620549271279,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.487805619999719,1.5501198275599266
SP_Tim,144.0,129.0,145.0,126.0,120.0,151.0,136.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,139.0,132.0
SP_Mag,1950.0,2720.0,4770.0,1570.0,982.0,16300.0,6750.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2340.0,5130.0
SP_Dur,49.0,46.0,36.0,26.0,35.0,36.0,44.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46.0,50.0
SP_ROC,0.03901734104046243,0.08480157761471929,0.03907256333190211,0.06540841584158416,0.033003300330033,0.045283018867924525,0.050104602510460255,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03716733936241393,0.04599406528189911
DS_Tim,193.0,175.0,181.0,152.0,155.0,187.0,180.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,185.0,182.0
DS_Mag_10,111.0,108.0,125.0,108.0,106.80000000000001,116.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,158.3,139.4
DS_Mag_50,151.0,151.0,217.0,160.0,151.0,156.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,221.5,180.0
DS_Dur_WSI,91.0,nan,100.0,141.0,128.0,94.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,140.0,143.0
DS_Dur_WS,125.0,114.0,132.0,151.0,215.0,126.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,174.0,177.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
WSI_Tim,292.0,283.0,nan,279.0,292.0,282.0,281.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,274.0,324.0
WSI_Mag,1109.9683093283193,1619.9885392713268,nan,1999.9938279245457,495.9929471295806,653.992693859484,279.00049194080844,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,837.999198157074,954.9942219780272
Wet_Tim,309.0,317.0,289.0,311.0,302.0,4.0,313.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,294.0,358.0
WSI_Dur,4.0,3.0,nan,4.0,4.0,3.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,2.0
Wet_BFL_Mag,389.20000000000005,790.0,452.0,776.0,452.80000000000007,611.0,640.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,497.0,382.0
Peak_Tim_2,91.0,49.0,29.0,43.0,100.0,129.0,54.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,51.0,102.0
Peak_Dur_2,91.0,143.0,161.0,146.0,118.0,238.0,137.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,125.0,102.0
Peak_Fre_2,1.0,6.0,4.0,6.0,2.0,4.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,1.0
Peak_Mag_2,11977.999999999929,11977.999999999929,11977.999999999929,11977.999999999929,11977.999999999929,11977.999999999929,11977.999999999929,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11977.999999999929,11977.999999999929
Peak_Tim_5,90.0,49.0,29.0,43.0,87.0,129.0,53.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,51.0,102.0
Peak_Dur_5,90.0,142.0,161.0,183.0,180.0,237.0,173.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,129.0,150.0
Peak_Fre_5,1.0,8.0,7.0,7.0,6.0,4.0,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.0,3.0
Peak_Mag_5,6854.499999999989,6854.499999999989,6854.499999999989,6854.499999999989,6854.499999999989,6854.499999999989,6854.499999999989,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6854.499999999989,6854.499999999989
Peak_Tim_10,44.0,49.0,25.0,43.0,44.0,99.0,53.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.0,102.0
Peak_Dur_10,202.0,177.0,231.0,181.0,180.0,236.0,221.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,344.0,216.0
Peak_Fre_10,5.0,10.0,10.0,10.0,9.0,7.0,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,8.0
Peak_Mag_10,4310.0,4310.0,4310.0,4310.0,4310.0,4310.0,4310.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4310.0,4310.0
Peak_Tim_20,44.0,49.0,25.0,41.0,43.0,99.0,48.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.0,61.0
Peak_Dur_20,218.0,216.0,229.0,198.0,173.0,233.0,217.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,343.0,216.0
Peak_Fre_20,12.0,10.0,9.0,6.0,7.0,7.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.0,7.0
Peak_Mag_20,2440.0,2440.0,2440.0,2440.0,2440.0,2440.0,2440.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2440.0,2440.0
