Year,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Avg,0.0016438356164383565,0.051366120218579225,0.017534246575342468,2.4898630136986295,1.24,0.21420765027322405,1.4448767123287671,0.3741095890410959,0.07421917808219179,0.01040983606557377,0.2556164383561643,0.03547945205479453,0.13873972602739726,3.734153005464482,0.3366301369863014,4.693205479452056,5.975863013698629,13.561010928961752,0.7725753424657533,1.221013698630137,11.671260273972603,3.6133333333333333,2.6966849315068493,2.816684931506849,0.36142465753424663,1.0965573770491803,0.07838356164383561,0.00882191780821918,3.8443013698630137,1.6940983606557376,15.141671232876712,0.7518082191780823,3.9477534246575336,0.09677595628415302,0.22126027397260273,2.235068493150685,0.03194520547945205,0.1787704918032787,0.0627945205479452,0.0,0.17517808219178085,0.10994535519125684,9.171616438356164,1.3073150684931507,0.014383561643835616,1.5812568306010926,0.14854794520547948,2.4547123287671235,2.289178082191781,0.08647540983606557,0.03758904109589041,0.07413698630136988,0.051123287671232864,0.026147540983606558
Std,0.023350439181000014,0.2499962674032322,0.09803243553137489,19.56456487150613,8.797679644274828,0.5160964248305681,7.868423336775797,2.7194111145444797,0.49993123490356284,0.020111609660654325,0.7046401710722179,0.06157390249280053,1.1082260541297428,46.603644733268204,3.7275362442560422,20.90386207677666,13.862175169128072,46.29894316341422,0.8315879827718989,3.474249431085999,35.663913629858556,21.691371980515328,8.528638602237827,19.966520614485567,1.5016258395924507,3.3657527281480055,0.21286400766023766,0.022181902079931187,37.66263333851428,4.829262310153647,55.96681601641458,1.3787137211415401,12.123152937444948,0.15021474271887048,2.5140705520085627,6.858322556061353,0.04598745821013607,1.9189295361769612,0.1575632040092065,0.0,1.2022559997083309,0.4619251675346593,35.71275509625671,6.5601349737131605,0.03832043345516078,19.173473480452692,0.34306886728652203,8.776847203583612,17.58267646444131,0.16867170945415602,0.22760021641035277,1.0313120425845705,0.6465864835353127,0.04709216729700593
CV,14.204850501775006,4.866948610084202,5.590912338898724,7.8576872558315785,7.0949029389313125,2.409327697550866,5.445740297173131,7.269022752169425,6.7358767345810415,1.9319814004723053,2.756630894333972,1.7354806494109796,7.987806274829308,12.480378994933899,11.073091309135307,4.454069221622328,2.319694266309559,3.414121808908455,1.0763843175706342,2.845381206602171,3.0557037365870907,6.003147227079888,3.1626381349163424,7.088659576775607,4.154740990382386,3.06938131883732,2.7156715412788097,2.514408155023255,9.797003334277182,2.850638677369581,3.6962112804889933,1.8338635917665613,3.0708992263103734,1.5521907350397117,11.362503113956482,3.0685066596744224,1.4395730914836764,10.73403958796833,2.5091871493612734,nan,6.863050358047243,4.201406841890788,3.8938343460269618,5.018021387357344,2.664182516406416,12.125464446635254,2.3094824153371545,3.5755094805719145,7.680781412867066,1.9505164505599086,6.054962025494079,13.910897839740139,12.647591987695026,1.8010170564999133
SP_Tim,nan,nan,nan,331.0,346.0,73.0,96.0,65.0,215.0,nan,108.0,nan,299.0,nan,234.0,94.0,121.0,70.0,91.0,106.0,87.0,231.0,2.0,51.0,70.0,67.0,67.0,nan,92.0,97.0,55.0,83.0,74.0,nan,208.0,117.0,nan,nan,71.0,nan,80.0,nan,59.0,99.0,nan,58.0,60.0,63.0,361.0,112.0,nan,nan,nan,nan
SP_Mag,nan,nan,nan,342.0,50.0,1.3,3.7,32.0,0.0,nan,1.0,nan,17.0,850.0,70.0,13.0,10.0,47.0,2.3,8.5,35.0,400.0,34.0,90.0,18.0,1.4,0.46,nan,15.0,35.0,331.0,6.3,92.0,nan,48.0,7.4,nan,7.3,1.2,nan,4.76,nan,124.0,5.29,nan,17.0,1.68,16.1,51.6,0.92,0.34,nan,nan,nan
SP_Dur,nan,nan,nan,256.0,14.0,175.0,122.0,17.0,14.0,nan,143.0,nan,247.0,nan,17.0,64.0,134.0,30.0,74.0,50.0,163.0,16.0,210.0,194.0,153.0,83.0,153.0,nan,142.0,14.0,29.0,97.0,35.0,nan,16.0,54.0,nan,nan,128.0,nan,211.0,nan,177.0,38.0,nan,171.0,73.0,85.0,127.0,130.0,nan,nan,nan,nan
SP_ROC,nan,nan,nan,0.11564171122994656,0.24667931688804556,0.5,0.11805555555555561,0.08333333333333323,nan,nan,0.1666666666666666,nan,0.20000000000000004,nan,0.29166666666666663,0.06451612903225812,0.057189542483660115,0.07846153846153847,0.06250000000000006,0.09090909090909098,0.03448275862068969,0.33333333333333326,0.0833333333333333,0.07692307692307698,0.1099033816425121,0.09999999999999991,0.14835164835164844,nan,0.11993464052287586,0.24999999999999997,0.07142857142857142,0.04761904761904753,0.07407407407407414,nan,0.75,0.07417582417582416,nan,nan,0.07142857142857148,nan,0.12499999999999993,nan,0.058823529411764754,0.06472559698366155,nan,0.09232954545454547,0.06250000000000006,0.06550718004462498,0.055555555555555455,0.12095088819226751,nan,nan,nan,nan
DS_Tim,nan,nan,nan,222.0,360.0,248.0,218.0,82.0,229.0,nan,251.0,nan,181.0,181.0,251.0,158.0,255.0,100.0,165.0,156.0,250.0,247.0,212.0,245.0,223.0,150.0,220.0,nan,234.0,111.0,84.0,180.0,109.0,nan,224.0,171.0,nan,133.0,199.0,nan,291.0,nan,236.0,137.0,nan,229.0,133.0,148.0,123.0,242.0,212.0,nan,nan,nan
DS_Mag_10,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.02,0.38,0.61,0.02,0.02,nan,0.9400000000000001,0.02,0.0,0.01,0.0,nan,nan,0.01,0.0,0.25,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
DS_Mag_50,nan,nan,nan,0.0,0.1,0.0,0.01,0.0,nan,nan,nan,nan,0.0,0.05,0.03,0.08,0.705,1.5,0.04,0.08499999999999999,nan,1.2,0.06,0.03,0.01,0.01,nan,nan,0.01,0.01,0.6,0.0,nan,nan,0.02,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
