Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961
Avg,2.232876712328767,53.99480874316939,12.526301369863011,9.045753424657534,4.685479452054795,34.81748633879781,7.141369863013699,100.61424657534248,8.962191780821918,2.788251366120219,1.6323287671232878
Std,4.71399707645804,167.02811222544935,32.62487107020551,33.770495589753445,12.02321875180217,166.81279458541948,25.59640200074513,308.1466375977328,34.485191511027764,10.461344337970148,9.519226185966136
CV,2.1111766047940916,3.0934105724854377,2.6045095121771205,3.733298267637886,2.566059434222776,4.791063690302556,3.5842425881500697,3.062654127882227,3.8478524399379843,3.7519373127849818,5.831684387172944
SP_Tim,64.0,80.0,124.0,94.0,64.0,31.0,146.0,98.0,56.0,45.0,32.0
SP_Mag,3.5,653.0,22.0,130.0,28.0,842.0,24.0,1320.0,348.0,103.0,76.0
SP_Dur,96.0,66.0,38.0,18.0,77.0,115.0,19.0,41.0,48.0,107.0,89.0
SP_ROC,0.1180555555555556,0.07692307692307693,0.11324786324786329,0.14285714285714285,0.19999999999999996,0.1,0.11111111111111108,0.05326241134751773,0.06316489361702125,0.1333333333333333,0.19999999999999996
DS_Tim,160.0,146.0,162.0,112.0,141.0,146.0,165.0,139.0,104.0,152.0,121.0
DS_Mag_10,0.1,0.9,0.4,0.2,0.1,0.2,0.1,1.9,0.2,0.1,0.0
DS_Mag_50,0.2,1.4,0.8,0.3,0.2,1.6,0.3,2.9,1.0,0.1,0.1
DS_Dur_WSI,180.0,174.0,158.0,226.0,nan,nan,176.0,nan,229.0,nan,nan
DS_Dur_WS,202.0,189.0,230.0,234.0,207.0,232.0,239.0,263.0,281.0,173.0,205.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,87.0
WSI_Tim,299.0,339.0,320.0,318.0,337.0,nan,nan,339.0,nan,332.0,nan
WSI_Mag,2.2747654329915257,173.98981004304252,11.98932413552376,35.95458945597913,23.955908159400046,nan,nan,5.46608468990281,nan,1.8222150780012645,nan
Wet_Tim,320.0,361.0,335.0,25.0,345.0,347.0,13.0,37.0,36.0,19.0,325.0
WSI_Dur,9.0,5.0,2.0,5.0,7.0,nan,nan,6.0,nan,20.0,nan
Wet_BFL_Mag,0.5,16.0,2.6,1.4,0.8,3.3,2.3,15.300000000000004,4.7,1.1,0.3
Peak_Tim_2,nan,45.5,5.0,62.0,nan,365.0,57.0,50.0,49.0,nan,nan
Peak_Dur_2,nan,3.0,1.0,1.5,nan,5.0,1.0,2.0,1.0,nan,nan
Peak_Fre_2,0.0,6.0,2.0,2.0,0.0,3.0,1.0,5.0,3.0,0.0,0.0
Peak_Mag_2,212.5,212.5,212.5,212.5,212.5,212.5,212.5,212.5,212.5,212.5,212.5
Peak_Tim_5,nan,12.0,355.0,76.0,18.0,5.0,57.0,45.0,47.0,37.0,365.0
Peak_Dur_5,nan,5.0,3.0,1.0,2.0,5.0,2.0,3.5,9.0,1.0,1.0
Peak_Fre_5,0.0,7.0,5.0,7.0,1.0,5.0,3.0,6.0,1.0,2.0,2.0
Peak_Mag_5,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
Peak_Tim_10,354.0,7.0,54.0,64.5,32.0,75.5,98.5,42.0,44.5,36.5,365.0
Peak_Dur_10,1.0,5.0,6.5,3.5,1.0,18.0,2.5,6.5,9.5,2.5,1.5
Peak_Fre_10,2.0,5.0,4.0,6.0,5.0,4.0,4.0,6.0,2.0,2.0,2.0
Peak_Mag_10,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
Peak_Tim_20,349.0,349.5,76.5,49.5,11.0,103.0,98.0,24.0,42.0,33.0,364.5
Peak_Dur_20,4.0,78.0,4.0,9.5,6.0,7.0,13.5,24.0,49.0,15.0,4.5
Peak_Fre_20,5.0,2.0,8.0,6.0,5.0,5.0,4.0,3.0,1.0,1.0,2.0
Peak_Mag_20,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9
