Year,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966
Avg,35.72185792349727,23.095616438356164,17.194520547945206,5.783013698630137,48.30928961748634,7.8863013698630136,45.28958904109588,7.753972602739728,9.607923497267759,6.138904109589042,16.916986301369864,28.166849315068493,5.417486338797815,23.983013698630135,13.198356164383561
Std,70.92641505696078,57.07680317113462,46.39488661719286,10.95904138955112,150.94327987306895,25.48685997775353,113.46099300071292,36.40509398120092,44.040017415295175,13.075731736421476,60.66916922974311,91.74168842016573,20.46410879742297,77.04628665164877,49.28502673542445
CV,1.9855186482421596,2.4713262503071376,2.6982367137150085,1.8950398461181346,3.124518722345951,3.231788741316671,2.5052334411283383,4.69502484034285,4.5837185764248645,2.129978169230079,3.586287069631923,3.2570802433017043,3.7774177021670394,3.2125356562694836,3.7341791751629354
SP_Tim,80.0,123.0,100.0,116.0,57.0,143.0,97.0,52.0,72.0,117.0,70.0,109.0,25.0,113.0,61.0
SP_Mag,177.0,45.0,91.0,34.0,942.0,47.0,585.0,421.0,67.0,13.0,184.0,105.0,222.0,70.0,39.0
SP_Dur,53.0,47.0,52.0,58.0,37.0,35.0,31.0,48.0,92.0,54.0,38.0,30.0,31.0,30.0,65.0
SP_ROC,0.08,0.06153846153846159,0.09090909090909091,0.10526315789473682,0.07246376811594203,0.08254076086956516,0.0971675845790716,0.0857843137254902,0.08510638297872347,0.09838709677419358,0.07368421052631571,0.08166666666666667,0.062499999999999965,0.07692307692307693,0.04446640316205526
DS_Tim,133.0,170.0,152.0,174.0,94.0,178.0,128.0,100.0,164.0,171.0,108.0,139.0,56.0,143.0,126.0
DS_Mag_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.1,0.0,0.1,0.0
DS_Mag_50,0.2,0.4,0.1,0.1,0.7,1.4,0.2,0.1,0.0,0.0,nan,1.3,0.4,0.2,0.1
DS_Dur_WSI,203.0,150.0,162.0,nan,210.0,107.0,nan,nan,167.0,166.0,nan,171.0,259.0,177.0,193.0
DS_Dur_WS,204.0,205.0,170.0,172.0,315.0,213.0,244.0,290.0,221.0,226.0,nan,181.0,294.0,213.0,229.0
DS_No_Flow,84.0,43.0,70.0,80.0,74.0,59.0,53.0,105.0,129.0,147.0,nan,2.0,121.0,12.0,73.0
WSI_Tim,297.0,336.0,318.0,313.0,nan,304.0,283.0,nan,nan,331.0,335.0,286.0,309.0,315.0,318.0
WSI_Mag,2.7747080388103242,86.92826796396008,23.00521914043346,11.995494238865266,nan,6.582584785462262,10.991119506368468,nan,nan,4.747948494897794,131.92147701039758,446.9900924829933,18.997500466371807,62.98658424838167,17.9834770913864
Wet_Tim,339.0,337.0,8.0,321.0,345.0,44.0,24.0,6.0,24.0,20.0,30.0,nan,319.0,350.0,354.0
WSI_Dur,14.0,4.0,2.0,5.0,nan,10.0,2.0,nan,nan,5.0,4.0,2.0,10.0,3.0,6.0
Wet_BFL_Mag,11.0,6.3,4.380000000000001,1.4,16.0,2.3,15.3,3.7,1.6,1.2,5.9399999999999995,nan,2.5,6.140000000000001,4.6
Peak_Tim_2,21.5,39.5,44.0,nan,14.0,56.0,43.0,47.0,39.0,nan,44.0,30.0,20.0,363.0,4.0
Peak_Dur_2,1.5,1.5,2.0,nan,4.0,1.0,2.0,3.0,2.0,nan,1.0,2.0,2.0,4.0,3.0
Peak_Fre_2,6.0,4.0,3.0,0.0,5.0,1.0,9.0,1.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0
Peak_Mag_2,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0
Peak_Tim_5,11.0,39.5,78.0,nan,16.0,55.0,39.0,28.0,35.0,32.0,40.0,63.5,20.0,24.0,4.0
Peak_Dur_5,5.0,2.0,2.0,nan,8.0,3.0,7.5,3.0,2.5,1.0,1.0,3.0,3.0,2.0,1.0
Peak_Fre_5,7.0,6.0,5.0,0.0,6.0,1.0,6.0,2.0,2.0,1.0,5.0,8.0,1.0,5.0,3.0
Peak_Mag_5,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0
Peak_Tim_10,6.0,34.0,68.0,64.5,18.5,75.0,355.0,28.0,54.0,53.0,39.5,30.0,356.0,24.0,27.0
Peak_Dur_10,10.0,3.0,4.0,1.0,35.0,2.0,1.0,1.5,4.0,1.0,7.5,6.0,3.5,6.0,6.0
Peak_Fre_10,5.0,6.0,7.0,4.0,2.0,5.0,5.0,4.0,4.0,6.0,4.0,5.0,2.0,5.0,4.0
Peak_Mag_10,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
Peak_Tim_20,334.0,34.0,16.0,29.0,52.0,81.5,349.0,151.0,77.5,41.0,19.0,29.5,323.0,355.0,328.0
Peak_Dur_20,5.0,9.5,21.0,6.0,1.0,2.5,2.0,6.5,3.0,13.0,5.0,10.0,2.0,26.0,3.0
Peak_Fre_20,5.0,6.0,3.0,6.0,4.0,6.0,7.0,4.0,6.0,5.0,3.0,6.0,5.0,3.0,5.0
Peak_Mag_20,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
