Year,1958,1959,1960,1961,1962,1963,1964,1965
Avg,889.5232876712329,357.46301369863016,330.25409836065575,427.2219178082192,334.9205479452055,654.6301369863014,380.40437158469945,701.945205479452
Std,1050.0978180816662,430.8327671957505,500.7178490884579,453.5287791223534,316.5026637378024,845.698114907155,422.1625374998603,1567.25745007187
CV,1.180517511610985,1.2052513146408397,1.5161593802286333,1.0615765723095307,0.9450081987492258,1.2918716495401001,1.1097730968264206,2.2327347460139437
SP_Tim,143.0,160.0,158.0,171.0,164.0,145.0,163.0,153.0
SP_Mag,1950.0,554.0,1410.0,948.0,694.0,1890.0,926.0,876.0
SP_Dur,82.0,54.0,67.0,44.0,85.0,71.0,69.0,45.0
SP_ROC,0.04967602591792657,0.05405405405405406,0.05517241379310345,0.05102258852258852,0.052814938684503904,0.049290411907234336,0.041237113402061855,0.0747003719520595
DS_Tim,225.0,214.0,225.0,215.0,249.0,216.0,232.0,198.0
DS_Mag_10,61.0,40.0,30.0,33.0,nan,39.0,29.0,29.0
DS_Mag_50,83.0,43.0,39.0,49.0,nan,64.0,35.5,50.0
DS_Dur_WSI,90.0,nan,57.0,87.0,nan,69.0,104.0,139.0
DS_Dur_WS,139.0,181.0,104.0,130.0,nan,91.0,106.0,141.0
DS_No_Flow,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
WSI_Tim,283.0,314.0,nan,282.0,300.0,285.0,284.0,336.0
WSI_Mag,1109.9970747833534,133.00158460504224,nan,82.99372895274271,163.96644084031877,5779.974030165463,404.97143408296023,3299.9167168241543
Wet_Tim,2.0,363.0,29.0,329.0,343.0,nan,306.0,338.0
WSI_Dur,4.0,7.0,nan,4.0,8.0,6.0,3.0,4.0
Wet_BFL_Mag,313.0,130.0,87.0,134.0,89.0,nan,93.0,273.6
Peak_Tim_2,20.0,12.0,38.0,43.0,nan,33.5,318.0,8.0
Peak_Dur_2,2.0,1.0,3.0,1.0,nan,2.0,1.0,1.5
Peak_Fre_2,6.0,1.0,1.0,1.0,0.0,6.0,3.0,6.0
Peak_Mag_2,2409.2000000000007,2409.2000000000007,2409.2000000000007,2409.2000000000007,2409.2000000000007,2409.2000000000007,2409.2000000000007,2409.2000000000007
Peak_Tim_5,38.0,29.0,67.0,42.0,354.0,31.0,318.0,15.5
Peak_Dur_5,2.0,1.5,2.0,1.0,2.0,4.0,2.0,3.0
Peak_Fre_5,9.0,4.0,3.0,3.0,1.0,9.0,3.0,8.0
Peak_Mag_5,1516.500000000001,1516.500000000001,1516.500000000001,1516.500000000001,1516.500000000001,1516.500000000001,1516.500000000001,1516.500000000001
Peak_Tim_10,49.5,47.0,90.0,74.0,72.0,59.0,357.5,6.0
Peak_Dur_10,7.5,3.0,2.0,2.0,2.0,4.0,2.0,10.0
Peak_Fre_10,6.0,5.0,5.0,9.0,4.0,12.0,4.0,7.0
Peak_Mag_10,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0
Peak_Tim_20,8.5,80.5,106.0,100.5,89.0,347.0,13.5,61.5
Peak_Dur_20,2.0,4.5,4.0,3.5,4.0,5.0,3.0,8.5
Peak_Fre_20,10.0,6.0,8.0,14.0,7.0,9.0,8.0,6.0
Peak_Mag_20,777.7999999999997,777.7999999999997,777.7999999999997,777.7999999999997,777.7999999999997,777.7999999999997,777.7999999999997,777.7999999999997
