,Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983
0,Avg,3.386027397260273,3.2024590163934423,2.368767123287671,2.556986301369863,2.3331506849315065,2.1726775956284152,1.9854794520547947,2.513698630136987,2.1178082191780816,2.0234972677595633,2.075068493150685,1.5172602739726029,1.5041095890410958,1.768306010928962,1.5819178082191783,2.0616438356164384,1.8414246575342463,1.1428142076502732,2.1885479452054795,1.5069863013698628,1.2011506849315068,1.310846994535519,0.8182191780821917,1.2587123287671234,0.903890410958904,0.4501092896174864,2.027616438356165,2.2528493150684934,2.986027397260273,14.841256830601097,4.869863013698629,4.275068493150685,4.472876712328767
1,Std,10.331613771455896,5.058366382140644,0.5555792859967971,4.895431105851774,1.880096818195064,0.7915309506154496,0.4668549424061127,5.381712185370239,1.3290786246935795,2.1198115208367736,3.3721515116059795,0.30726928207927645,0.5571547966609431,3.8901347658559655,2.199639234139953,10.154219450074445,5.67805766017471,0.2767591591038487,8.581636643471802,3.1739378268295475,0.8440358310779029,2.32961771145125,1.9238032696858895,8.482350846089153,7.544237150287036,1.3548475965634303,22.525459509174407,5.168039674110917,15.866080174663134,78.9767411811902,1.1324461257870486,1.185879389657961,1.7481430299873353
2,CV,3.0512493135216454,1.5795257195320156,0.2345436495360062,1.914531612167468,0.8058188570234833,0.3643112775720002,0.2351346129132484,2.140953621427942,0.6275727011813151,1.0475979160494993,1.6250796167628498,0.20251586847045128,0.37042167719716623,2.19992170009778,1.3904889512661636,4.925302457511193,3.0835134290956523,0.24217336225884864,3.921155422832688,2.106149089706,0.7026893808298769,1.7771850728289758,2.351207746309559,6.738911387638031,8.346406886077741,3.010041400644746,11.109329695233836,2.2940014849389923,5.313440924627988,5.3214321457161615,0.2325416798381281,0.2773942432870775,0.3908319281792095
3,SP_Tim,213.0,119.0,101.0,,20.0,160.0,70.0,97.0,10.0,80.0,232.0,162.0,166.0,295.0,105.0,331.0,344.0,162.0,62.0,65.0,157.0,308.0,72.0,,299.0,111.0,234.0,78.0,232.0,71.0,182.0,153.0,87.0
4,SP_Mag,200.0,2.7,2.9,95.0,3.4,2.1,2.3,86.0,2.8,2.6,66.0,1.7,1.9,73.0,3.1,186.0,27.0,1.1,88.0,3.5,1.2,1.9,0.53,121.0,117.0,0.9,420.0,7.8,300.0,110.0,4.3,4.9,8.5
5,SP_Dur,13.0,49.0,119.0,,201.0,66.0,116.0,155.0,,113.0,31.0,,191.0,323.0,139.0,261.0,246.0,139.0,13.0,214.0,82.0,300.0,135.0,,217.0,,11.0,162.0,11.0,13.0,58.0,42.0,161.0
6,SP_ROC,0.17500000000000002,0.09090909090909098,0.07407407407407414,,0.05263157894736836,0.07417582417582416,0.051315789473684204,0.3333333333333333,,0.05882352941176462,0.22500000000000006,,0.1250000000000001,0.1250000000000001,0.09090909090909098,0.08333333333333323,0.08333333333333323,0.04309046681339046,0.08012820512820511,0.07142857142857134,0.048437500000000036,0.06666666666666672,0.20416666666666666,,0.1587301587301587,,0.1666666666666666,0.07019704433497527,0.07692307692307697,0.09278350515463904,0.05798319327731091,0.050641025641025635,0.02409988385598144
7,DS_Tim,226.0,168.0,220.0,224.0,221.0,226.0,186.0,252.0,,193.0,263.0,,357.0,253.0,244.0,227.0,225.0,301.0,75.0,279.0,239.0,243.0,207.0,218.0,151.0,,245.0,240.0,243.0,84.0,240.0,195.0,248.0
8,DS_Mag_10,2.0,2.2,1.6,1.7000000000000002,2.0,1.5,1.6,,,1.2100000000000002,1.6,,1.2,0.9,1.1,,,1.1,0.395,0.95,,0.965,0.15,0.3,0.0,,0.1,1.0,1.8,3.2,,,
9,DS_Mag_50,2.2,2.3,1.8,1.8,2.0,1.5,1.9,,,1.5,1.8,,1.2,1.15,1.3,,,1.65,0.79,1.1,,1.0,0.53,0.44,0.05,,0.44,1.7,2.4,4.8,,,
10,DS_Dur_WSI,,,,,,,,,,,,,,,,,,,,,,,123.0,,,,,89.0,51.0,,,,
11,DS_Dur_WS,128.0,135.0,95.0,74.0,65.0,50.0,233.0,,,112.0,21.0,,4.0,30.0,71.0,,,124.0,286.0,34.0,,66.0,349.0,69.0,178.0,,125.0,339.0,160.0,198.0,,,
12,DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,9.0,0.0,21.0,,0.0,0.0,0.0,0.0,,,
13,WSI_Tim,,,,,,,,,,,,,,,,,278.0,,,,,,,328.0,,,297.0,,328.0,293.0,,,
14,WSI_Mag,,,,,,,,,,,,,,,,,5.703055306403179,,,,,,,1.454739108968336,,,2.762434259698161,,5.926556892559594,23.98609599211827,,,
15,Wet_Tim,192.0,353.0,303.0,313.0,297.0,285.0,276.0,52.0,,292.0,305.0,282.0,328.0,278.0,283.0,313.0,,,34.0,359.0,308.0,,309.0,189.0,286.0,328.0,216.0,3.0,213.0,37.0,282.0,,
16,WSI_Dur,,,,,,,,,,,,,,,,,2.0,,,,,,,4.0,,,7.0,,4.0,5.0,,,
17,Wet_BFL_Mag,2.0,2.0,1.8,1.7,1.6,1.5,1.6,1.0,,1.6,1.4,,1.1,1.2,1.0,0.9,,,1.1,0.81,0.7,,0.15,0.21800000000000005,0.06,,0.03,0.31,1.9,2.640000000000001,3.5,,
18,Peak_Tim_2,9.01071621671892e+19,39.0,334.0,290326.0,298.0,-99999.0,1.2616617218218834e+23,273310.0,335345.0,318.0,-99999.0,-99999.0,17172307313322.0,317.0,52090305.0,3.806511429833434e+16,-99999.0,116146358.0,315319329.0,312.0,316331.0,46.0,98290359.0,21341350.0,345.0,318320.0,1.0110610813114716e+23,124178292319.0,1.9117120133135155e+22,5.405710412614615e+19,1.0211213216116718e+20,6.012012515017432e+19,
19,Peak_Dur_2,1.0,1.0,1.0,2.0,1.5,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,2.5,1.0,2.0,3.0,1.0,2.0
20,Peak_Fre_2,2.0,7.0,1.0,1.0,2.0,1.0,0.0,8.0,2.0,2.0,1.0,0.0,0.0,5.0,1.0,3.0,6.0,0.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,8.0,4.0,8.0,7.0,7.0,7.0
