,Year,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
0,Avg,0.8761095890410958,0.7407923497267759,6.6060273972602745,1.687013698630137,2.810328767123288,0.6094808743169399,0.4431506849315068,11.212602739726028,2.5881369863013703,3.5710928961748634,1.7425753424657533
1,Std,3.988198987772857,7.003794106471371,29.529447208466426,9.979373088846195,13.428156184750355,4.670162059814921,3.0111265250561603,46.965502928006,10.358022571788164,22.18952108090919,8.930563310275787
2,CV,4.552169086675504,9.454463331127217,4.470076406391111,5.915407264890318,4.7781442306110335,7.662524381997853,6.794814105999991,4.188635236456578,4.002115276977865,6.213649917838107,5.1249223449007335
3,SP_Tim,152.0,,85.0,90.0,99.0,107.0,134.0,109.0,91.0,69.0,86.0
4,SP_Mag,5.2,,23.0,16.0,11.0,5.1,13.0,32.0,97.0,26.0,12.0
5,SP_Dur,13.0,,14.0,15.0,38.0,16.0,9.0,20.0,75.0,22.0,52.0
6,SP_ROC,0.2916666666666667,,0.2,0.16393442622950816,0.13333333333333328,0.2500000000000001,0.4285714285714286,0.06350806451612905,0.13858577040593625,0.22222222222222224,0.15853658536585366
7,DS_Tim,165.0,,99.0,105.0,137.0,123.0,143.0,129.0,166.0,91.0,138.0
8,DS_Mag_10,,,0.0,0.0,0.0,,0.0,0.07,0.0,0.0,0.0
9,DS_Mag_50,,,0.03,0.0,0.0,,0.0,0.39,0.0,0.0,0.0
10,DS_Dur_WSI,,,225.0,,,,,187.0,128.0,247.0,201.0
11,DS_Dur_WS,,,258.0,222.0,249.0,,216.0,231.0,233.0,291.0,245.0
12,DS_No_Flow,,,78.0,155.0,194.0,,206.0,11.0,145.0,162.0,200.0
13,WSI_Tim,,,,322.0,,,275.0,,315.0,293.0,338.0
14,WSI_Mag,,,,9.99669460490418,,,9.599259162109268,,1.889438746630805,1.6726287501728083,6.705318775366106
15,Wet_Tim,321.0,,311.0,355.0,326.0,20.0,,357.0,359.0,33.0,17.0
16,WSI_Dur,,,,4.0,,,6.0,,2.0,1.0,21.0
17,Wet_BFL_Mag,0.05800000000000001,,0.0,0.25,0.07500000000000001,0.0,,0.8420000000000001,0.47100000000000003,0.52,0.23
18,Peak_Tim_2,None,4.404610710912813e+28,95097.0,63124131156.0,131.0,93.0,8.810110512915116e+28,96136143177.0,138.0,151154.0,
19,Peak_Dur_2,1.0,,,,,,,1.0,1.5,,
20,Peak_Fre_2,2.0,,,,,,,10.0,4.0,,
21,Peak_Mag_2,29.5,,,,,,,29.5,29.5,,
22,Peak_Tim_5,None,4.104410712813215e+22,4.8061095108151165e+19,6.3088124131156184e+16,131152345.0,93097219.0,8.709710010512915e+31,4.309610612213513e+28,8.410010210513715e+19,1.1813114715115418e+20,
23,Peak_Dur_5,1.0,,,,,,,3.0,1.5,,
24,Peak_Fre_5,3.0,,,,,,,11.0,10.0,,
25,Peak_Mag_5,9.15,,,,,,,9.15,9.15,,
26,Peak_Tim_10,None,41044107128149.0,4.705206109510715e+19,6.3087124130156175e+19,1.2712915219434536e+17,41093096166219.0,8.709710010512733e+16,4.305207709610613e+40,8.410011913716917e+16,6.311411813014715e+22,
27,Peak_Dur_10,1.0,,,,,,,3.5,3.0,,
28,Peak_Fre_10,10.0,,,,,,,6.0,14.0,,
29,Peak_Mag_10,2.7,,,,,,,2.7,2.7,,
30,Peak_Tim_20,None,41044107126.0,4.7052061095151175e+22,2.7063087121124196e+16,127152194345363.0,4.109009316617522e+16,8.609409710012733e+16,4.10430510770961e+37,1.9037084099119122e+31,6.311311813013613e+25,
31,Peak_Dur_20,2.0,,,,,,,4.0,4.0,,
32,Peak_Fre_20,10.0,,,,,,,6.0,13.0,,
33,Peak_Mag_20,0.85,,,,,,,0.85,0.85,,
