,Year,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970
0,Avg,0.9019178082191782,,1.2543956043956044,21.756164383561643,2.385205479452055,0.4065573770491804,0.11726027397260272,15.045205479452056,2.1912328767123292,0.13934426229508196,1.8147945205479448,11.536164383561644,8.987123287671231,0.18142076502732246,28.70093150684932,0.2738630136986301
1,Std,4.829455472165374,,4.183806749889416,69.73779578270674,14.840631019851116,1.3111379347217225,2.19565028297636,76.66332773548463,11.203577210678358,1.0588340874059878,9.523392987736779,49.405611201206284,50.255963170456496,0.8240803140109575,141.0020890691766,2.2197025921670472
2,CV,5.3546514196244255,,3.3353168133152598,3.205426956389367,6.2219507491909685,3.224976371694559,18.724587693606807,5.095532117536536,5.112910329954488,7.598691686090031,5.2476425732547165,4.28267226077381,5.591996633605653,4.542370405542325,4.912805322556422,8.10515652401933
3,SP_Tim,124.0,,146.0,100.0,56.0,122.0,,46.0,109.0,,104.0,34.0,112.0,,60.0,
4,SP_Mag,11.0,,2.5,552.0,133.0,11.0,,674.0,13.0,,124.0,199.0,46.0,,978.0,
5,SP_Dur,45.0,,33.0,39.0,43.0,18.0,,41.0,61.0,,37.0,45.0,42.0,,64.0,
6,SP_ROC,0.1250000000000001,,0.2500000000000001,0.07692307692307693,0.08695652173913032,0.3875000000000001,,0.1111111111111111,0.09999999999999998,,0.10172413793103444,0.0638297872340425,0.05999999999999996,,0.07142857142857142,
7,DS_Tim,169.0,,179.0,139.0,99.0,140.0,,87.0,170.0,,141.0,79.0,154.0,,124.0,
8,DS_Mag_10,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,,,
9,DS_Mag_50,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,,,
10,DS_Dur_WSI,,,,,,,,,,,,259.0,,,,
11,DS_Dur_WS,,,210.0,260.0,259.0,,,307.0,,,171.0,298.0,,,,
12,DS_No_Flow,,,207.0,180.0,198.0,,,205.0,,,150.0,186.0,,,,
13,WSI_Tim,,,,,,,,336.0,,,,,337.0,,,
14,WSI_Mag,,,,,,,,223.90484202593055,,,,,15.995420290741606,,,
15,Wet_Tim,1.0,,4.0,22.0,33.0,357.0,,29.0,28.0,,363.0,310.0,11.0,,12.0,
16,WSI_Dur,,,,,,,,10.0,,,,,21.0,,,
17,Wet_BFL_Mag,0.1,,0.0,6.84,0.0,0.0,,1.54,0.4,,0.0,3.8,2.5,,5.3,
18,Peak_Tim_2,None,145.0,1.2414114716417719e+20,132138143.0,-99999.0,None,62130.0,131178.0,None,189.0,46052089121.0,66113115.0,None,1.1011512713714318e+17,None,
19,Peak_Dur_2,,,,,,,,,,,,,,,,
20,Peak_Fre_2,,,,,,,,,,,,,,,,
21,Peak_Mag_2,,,,,,,,,,,,,,,,
22,Peak_Tim_5,None,103145150.0,117124140156164.0,132138143.0,-99999.0,None,61130155.0,131166178195.0,None,80097189.0,46052088120.0,6.61131621821852e+16,None,110186.0,None,
23,Peak_Dur_5,,,,,,,,,,,,,,,,
24,Peak_Fre_5,,,,,,,,,,,,,,,,
25,Peak_Mag_5,,,,,,,,,,,,,,,,
26,Peak_Tim_10,None,103145150198.0,76116124.0,96132138.0,101123209.0,None,61111114130.0,131166178195207.0,None,80097181188.0,46120152.0,63066113161181.0,None,110.0,None,
27,Peak_Dur_10,,,,,,,,,,,,,,,,
28,Peak_Fre_10,,,,,,,,,,,,,,,,
29,Peak_Mag_10,,,,,,,,,,,,,,,,
30,Peak_Tim_20,None,103145190.0,76116.0,96132138206.0,1.0012313013915022e+17,None,50061111129.0,131166.0,None,80097181.0,45.0,62065113.0,None,110.0,None,
31,Peak_Dur_20,,,,,,,,,,,,,,,,
32,Peak_Fre_20,,,,,,,,,,,,,,,,
33,Peak_Mag_20,,,,,,,,,,,,,,,,
