,Year,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
0,Avg,23.06575342465753,49.32109589041096,8.569398907103825,29.18739726027397,7.980821917808219,58.4963287671233,9.031393442622953,52.8788493150685,29.476739726027393,16.232520547945207,5.0387978142076495,45.37578082191781,36.03920547945205,24.03082191780822,1.2546174863387975,0.7938630136986301,44.96243835616438,13.808876712328765,50.6433606557377,11.98139726027397,77.23789041095891
1,Std,92.4808769854287,221.4570470586784,32.53761577962181,83.06578845128698,21.74833552147355,187.8098971211556,51.6692117896666,158.20899169948063,87.67479740683474,34.07909100985232,14.794578636267225,120.49267601345512,107.33053050656551,60.86517349911915,1.6216045622825372,1.529395845576818,134.83117208507548,37.397821130562775,180.1620647736774,63.837199808712846,244.23241526119492
2,CV,4.009445314132495,4.4901079966013935,3.796954270928958,2.8459470952672152,2.725074653394385,3.2106270783049617,5.7210675315968205,2.991914418500725,2.9743722752831987,2.099433104624421,2.9361326216645733,2.6554402774101398,2.9781602862405108,2.5327961610008254,1.292509135206361,1.926523618289407,2.998751335882344,2.7082449868766987,3.5574666143974736,5.32802630794775,3.1620803463392115
3,SP_Tim,69.0,109.0,25.0,105.0,55.0,116.0,78.0,64.0,67.0,90.0,41.0,83.0,95.0,85.0,107.0,135.0,100.0,92.0,54.0,85.0,105.0
4,SP_Mag,675.0,203.0,414.0,179.0,19.0,200.0,94.0,584.0,177.0,45.0,56.0,92.0,339.0,379.0,3.7,1.1,100.0,73.0,1550.0,374.0,1780.0
5,SP_Dur,42.0,34.0,34.0,41.0,61.0,29.0,39.0,107.0,32.0,64.0,116.0,33.0,57.0,75.0,147.0,49.0,76.0,63.0,92.0,43.0,39.0
6,SP_ROC,0.07692307692307693,0.07142857142857142,0.06458333333333333,0.0822072072072072,0.06904761904761905,0.07142857142857142,0.07526881720430119,0.06666666666666668,0.05882352941176471,0.06066176470588235,0.07417582417582418,0.05882352941176471,0.06382978723404255,0.06559139784946244,0.3622291021671827,0.11895161290322576,0.05263157894736842,0.05427898070408009,0.07275132275132275,0.05882352941176471,0.0625
7,DS_Tim,111.0,143.0,59.0,146.0,116.0,145.0,117.0,171.0,99.0,154.0,157.0,116.0,152.0,160.0,254.0,184.0,176.0,155.0,146.0,128.0,144.0
8,DS_Mag_10,0.2,0.8,0.2,0.4,0.1,0.6599999999999999,0.28,0.25,0.23800000000000004,0.3890000000000001,0.08,0.493,0.72,0.732,0.01,0.0,0.5720000000000001,0.598,0.78,0.272,0.67
9,DS_Mag_50,0.6,2.1,1.6,1.1,0.4,2.1500000000000004,0.92,0.995,1.2,0.81,0.22,1.4,2.1,1.4,0.41,0.0,1.1,1.3,1.4,0.98,2.85
10,DS_Dur_WSI,,142.0,244.0,,,190.0,170.0,120.0,,162.0,,,174.0,,21.0,144.0,142.0,139.0,193.0,191.0,174.0
11,DS_Dur_WS,169.0,161.0,288.0,169.0,202.0,236.0,257.0,178.0,225.0,190.0,155.0,192.0,238.0,119.0,97.0,164.0,193.0,200.0,235.0,223.0,206.0
12,DS_No_Flow,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,95.0,0.0,0.0,0.0,0.0,0.0
13,WSI_Tim,324.0,,284.0,303.0,,,334.0,287.0,289.0,,315.0,,,325.0,,275.0,326.0,317.0,293.0,339.0,317.0
14,WSI_Mag,2.0900521241804206,,6.267512786687046,2.8105144788816703,,,4.733490367457872,1.98977483665202,7.896341437553303,,4.7075192516403845,,,7.24815759034834,,1.0774505249321331,43.993765570331135,2.0072098446346205,4.410628690001065,56.00763914419305,713.9033299484782
15,Wet_Tim,30.0,279.0,303.0,347.0,313.0,317.0,15.0,9.0,347.0,323.0,343.0,312.0,306.0,24.0,278.0,351.0,346.0,3.0,354.0,16.0,349.0
16,WSI_Dur,2.0,,6.0,8.0,,,3.0,3.0,2.0,,2.0,,,3.0,,5.0,3.0,3.0,3.0,9.0,5.0
17,Wet_BFL_Mag,6.1,4.5,3.0,7.5,3.3,5.9,2.8400000000000007,6.6,14.0,5.3,1.4,5.7,9.9,7.449999999999998,0.0,0.22000000000000006,8.74,5.32,11.0,2.6100000000000003,20.0
18,Peak_Tim_2,12121135195.0,111.0,81094096190.0,-99999.0,6.206511211512017e+19,121.0,1.0410911512813312e+23,105107112115151.0,62.0,-99999.0,4.410010712813215e+16,4.706110815117818e+19,124131135158171.0,-99999.0,-99999.0,8.309710010512915e+19,106135144.0,102138187.0,118171.0,4.308008909511114e+28,
19,Peak_Dur_2,2.0,1.0,2.0,2.0,,2.0,1.0,2.0,1.0,1.0,,2.5,1.0,1.0,,,2.0,1.0,4.0,2.0,1.0
20,Peak_Fre_2,3.0,4.0,1.0,4.0,0.0,7.0,1.0,8.0,5.0,1.0,0.0,6.0,7.0,5.0,0.0,0.0,7.0,3.0,3.0,2.0,10.0
21,Peak_Mag_2,272.3000000000002,272.3000000000002,272.3000000000002,272.3000000000002,272.3000000000002,272.3000000000002,272.3000000000002,272.3000000000002,272.3000000000002,272.3000000000002,272.3000000000002,272.3000000000002,272.3000000000002,272.3000000000002,272.3000000000002,272.3000000000002,272.3000000000002,272.3000000000002,272.3000000000002,272.3000000000002,272.3000000000002
22,Peak_Tim_5,1.212113213417318e+28,111.0,81093190197.0,85088.0,6.2064112162166154e+25,121.0,104109127.0,8.008510010515115e+16,58061080105162.0,85087127.0,4.310010712112815e+22,4.706009409710715e+19,1.2313113515716316e+20,-99999.0,-99999.0,7.708309610010414e+19,105135142.0,84102138156187.0,118171.0,4.304608008911114e+28,
23,Peak_Dur_5,3.5,2.5,3.0,5.0,2.0,3.0,2.0,15.0,1.5,2.0,1.0,3.0,2.0,2.0,,,3.0,2.0,4.0,2.0,2.0
24,Peak_Fre_5,4.0,10.0,1.0,4.0,2.0,9.0,1.0,3.0,6.0,5.0,3.0,8.0,7.0,7.0,0.0,0.0,7.0,3.0,5.0,2.0,10.0
25,Peak_Mag_5,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0
