,Year,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
0,Avg,1.6889344262295083,14.972328767123287,13.018904109589037,6.8484931506849325,1.5557103825136611,0.9611506849315071,11.613726027397261,4.682465753424657,13.386693989071038,2.778109589041096,26.848876712328767,31.57342465753425,9.53032786885246,3.8050136986301366
1,Std,1.897448592092684,41.349181785168035,23.984797671587092,14.75723474033872,1.039553242236354,0.7625747961739916,31.09647795466897,8.572986625061578,45.24114632158492,8.109429991220763,108.19906496746687,54.52260740654933,20.059438545380328,9.345588531484381
2,CV,1.123459006237842,2.7617067744307,1.8423054252255493,2.154814849871437,0.6682177183626435,0.7933977555541499,2.677562556694646,1.8308701176920459,3.379560805567081,2.9190461107835013,4.029928928750409,1.726851236377958,2.1048004666177,2.45612480576586
3,SP_Tim,120.0,64.0,95.0,102.0,103.0,142.0,120.0,92.0,70.0,85.0,105.0,122.0,364.0,92.0
4,SP_Mag,2.1,77.0,170.0,20.0,5.4,1.4,17.0,35.0,54.0,133.0,510.0,183.0,99.0,43.0
5,SP_Dur,71.0,51.0,147.0,48.0,153.0,63.0,44.0,67.0,126.0,52.0,27.0,128.0,196.0,47.0
6,SP_ROC,0.15078671328671328,0.054921968787515,0.0638297872340425,0.04909638554216872,0.0965116279069767,0.08571428571428563,0.03809869375907113,0.0555555555555556,0.04651162790697679,0.06066176470588235,0.08012820512820512,0.03798076923076922,0.05633802816901401,0.06155303030303029
7,DS_Tim,191.0,115.0,242.0,150.0,256.0,205.0,164.0,159.0,196.0,137.0,132.0,250.0,195.0,139.0
8,DS_Mag_10,0.52,1.0,1.9,,,0.47,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.69,2.0,2.3,1.0,1.0
9,DS_Mag_50,0.58,1.3,2.4,,,0.61,1.2,1.4,1.2,0.97,3.5,3.0,1.7,1.4
10,DS_Dur_WSI,93.0,,60.0,,,106.0,154.0,135.0,143.0,166.0,168.0,,95.0,152.0
11,DS_Dur_WS,114.0,193.0,152.0,,,141.0,204.0,194.0,184.0,216.0,217.0,51.0,114.0,171.0
12,DS_No_Flow,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,WSI_Tim,,284.0,,301.0,283.0,,309.0,317.0,293.0,339.0,301.0,299.0,,290.0
14,WSI_Mag,,4.093755693349415,,5.5562308399301115,10.851002575172672,,1.6182136666597131,2.2486442418792456,3.5005210782689957,10.011819448735762,2.582650432468629,9.997051246766391,,5.198729393502207
15,Wet_Tim,304.0,305.0,306.0,28.0,,,344.0,2.0,352.0,15.0,351.0,348.0,300.0,309.0
16,WSI_Dur,,2.0,,5.0,4.0,,1.0,4.0,6.0,4.0,7.0,6.0,,1.0
17,Wet_BFL_Mag,0.74,1.2,3.0,3.4200000000000004,,,3.84,2.0,3.18,1.5,9.35,4.2,3.1,1.9
18,Peak_Tim_2,44107109128149.0,6.110815117818018e+16,135158.0,-99999.0,-99999.0,105131134138155.0,-99999.0,102139.0,171.0,89095136181192.0,6.0081113115117115e+40,54069085.0,130.0,
19,Peak_Dur_2,,1.0,1.0,1.0,,,1.0,,4.5,1.0,3.0,1.0,3.0,1.0
20,Peak_Fre_2,0.0,5.0,6.0,2.0,0.0,0.0,5.0,0.0,2.0,1.0,5.0,14.0,3.0,1.0
21,Peak_Mag_2,93.53999999999996,93.53999999999996,93.53999999999996,93.53999999999996,93.53999999999996,93.53999999999996,93.53999999999996,93.53999999999996,93.53999999999996,93.53999999999996,93.53999999999996,93.53999999999996,93.53999999999996,93.53999999999996
22,Peak_Tim_5,4.310010712112613e+22,4.2047061087095085e+28,131135158171175.0,-99999.0,-99999.0,9.71001051291341e+19,102105135143178.0,102138150156187.0,120171.0,4.708909511111614e+28,4.805908111312815e+25,4.004705406306909e+16,57130177.0,
23,Peak_Dur_5,,3.0,1.0,2.0,,,2.0,2.0,2.0,1.0,4.0,3.0,2.0,1.0
24,Peak_Fre_5,0.0,8.0,10.0,5.0,0.0,0.0,7.0,5.0,5.0,2.0,10.0,9.0,6.0,3.0
25,Peak_Mag_5,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
26,Peak_Tim_10,4.004310010712113e+22,3.6042046061087096e+31,1.311351571631712e+17,-99999.0,-99999.0,7.708309610010416e+28,1.0210513513814116e+20,84090102138187.0,118169.0,4.705408108911014e+19,4.80580811091132e+19,4.004304605406306e+19,43046057130176.0,
27,Peak_Dur_10,,3.5,2.0,4.5,,,2.5,2.0,2.0,4.0,12.0,4.0,3.0,2.0
28,Peak_Fre_10,0.0,8.0,11.0,6.0,0.0,0.0,10.0,7.0,5.0,2.0,7.0,7.0,7.0,5.0
29,Peak_Mag_10,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
30,Peak_Tim_20,4.004306610010712e+16,3.604204606008713e+28,6.308712413015721e+16,9151.0,90.0,5.207507708309613e+16,99102135177.0,8.40901001371862e+16,64118169.0,4.304705408108924e+16,2.40480580811093e+16,40135164.0,4.204605405707513e+22,
31,Peak_Dur_20,3.0,5.0,4.0,3.0,1.0,1.0,1.5,11.5,9.5,4.0,1.5,4.5,7.0,2.0
32,Peak_Fre_20,3.0,6.0,10.0,6.0,2.0,1.0,6.0,4.0,6.0,3.0,6.0,6.0,3.0,8.0
33,Peak_Mag_20,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7
