,Year,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986
0,Avg,3.4295890410958907,0.7575342465753425,0.006284153005464479,0.627945205479452,0.4693150684931507,5.0802739726027415,0.063551912568306,22.435479452054796,0.5932602739726028,0.39421917808219176,0.011038251366120218,3.807808219178081,1.3103561643835615,0.0824109589041096,0.04945355191256831,0.0027397260273972607,17.209506849315066,2.5217260273972606,9.328169398907104,0.9233150684931508,2.218,13.548356164383561,1.7593169398907107,0.0018904109589041095,5.8939726027397255
1,Std,19.32052074217776,3.915613907961871,0.08549991928043088,4.300689641703738,3.1745893181777087,25.207773207126518,0.07781480244753332,99.99076545089079,2.171541981195177,1.2647929089957377,0.2036886986765024,19.852841641021925,7.407988145663952,0.7165730437318935,0.7980763941520163,0.05227064117353125,66.07777659099054,9.226207165713603,42.73983744843732,4.89244418529341,14.324821664719861,39.652494271550424,7.850666591243797,0.013588433481775852,24.15685613785459
2,CV,5.633479845738043,5.168893585555454,13.605639328972911,6.848829490496793,6.764302983857932,4.961892477269685,1.2244289637058128,4.456814291157613,3.660352928494687,3.208349515487137,18.45298606821779,5.213718889788829,5.653415725448152,8.695118383049904,16.137898356886073,19.078784028338905,3.8396089539091256,3.6586873694745554,4.581803312174493,5.298780830337659,6.458440786618513,2.9267384020941534,4.4623378614949765,7.188084378040849,4.098569465121985
3,SP_Tim,70.0,152.0,,,42.0,118.0,,61.0,68.0,135.0,,84.0,72.0,,,,68.0,92.0,69.0,85.0,,87.0,364.0,,79.0
4,SP_Mag,21.0,2.1,,,2.4,43.0,,676.0,22.0,3.9,,27.0,21.0,,,,105.0,73.0,80.0,79.0,,70.0,35.0,,178.0
5,SP_Dur,84.0,21.0,,,29.0,25.0,,28.0,84.0,50.0,,12.0,37.0,,,,62.0,36.0,38.0,35.0,,87.0,43.0,,33.0
6,SP_ROC,0.28571428571428564,0.3333333333333333,,,0.21111111111111114,0.10194805194805193,,0.06779661016949153,0.1180555555555556,0.12132352941176475,,0.30000000000000004,0.1111111111111112,,,,0.0989130434782608,0.07692307692307697,0.0701754385964913,0.14665471923536444,,0.05882352941176471,0.06250000000000007,,0.11764705882352937
7,DS_Tim,154.0,173.0,,,71.0,143.0,,89.0,152.0,185.0,,96.0,109.0,,,,130.0,128.0,107.0,120.0,,174.0,42.0,,112.0
8,DS_Mag_10,0.0,,,,0.0,,,0.58,0.0,,,0.0,,,,,0.41,0.07,0.27,,,0.289,,,0.0
9,DS_Mag_50,0.0,,,,0.0,,,0.73,0.0,,,0.0,,,,,0.59,0.16,0.46,,,1.0,,,0.0
