,Year,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973
0,Avg,32.22767123287671,23.51041095890411,109.83907103825136,28.004383561643838,89.49835616438357,19.639726027397266,14.811748633879784,6.570958904109589,44.34054794520548,53.406301369863,17.95300546448087,65.17561643835616,25.16520547945205,129.4958904109589,14.486284153005464,187.80536986301368,36.25734246575343,31.708876712328767,16.832431693989072,59.061013698630134
1,Std,63.2277464348871,27.301892173793906,429.71642616506637,59.47384628341512,166.49523568002516,51.03330564304497,34.50320803493267,12.5990228110291,124.06418201871855,214.4026239073929,21.185879905272426,112.17859016039304,42.965595924843825,299.8329800087367,14.311733592857234,472.36526326728927,100.50220078994509,38.30504710975684,29.17824264905041,94.28182718492774
2,CV,1.9619086336708684,1.161268181212028,3.912236530254504,2.1237334559605654,1.8603161311054668,2.5984733988576982,2.329448661855593,1.917379638936633,2.797984864148111,4.014556679792462,1.1800742748721174,1.721174210396503,1.7073413511336593,2.3153860640458017,0.9879506325911732,2.515185074909388,2.7719130514012065,1.2080228340243728,1.7334537979720468,1.5963462406185305
3,SP_Tim,122.0,132.0,31.0,145.0,97.0,54.0,127.0,92.0,51.0,120.0,99.0,112.0,104.0,141.0,57.0,30.0,68.0,91.0,46.0,90.0
4,SP_Mag,227.0,132.0,1110.0,236.0,1690.0,156.0,59.0,37.0,420.0,214.0,62.0,226.0,56.0,370.0,56.0,5300.0,160.0,83.0,40.0,350.0
5,SP_Dur,82.0,96.0,157.0,60.0,98.0,125.0,53.0,88.0,127.0,76.0,112.0,87.0,79.0,76.0,149.0,155.0,85.0,133.0,129.0,104.0
6,SP_ROC,0.05555555555555555,0.06458333333333335,0.04196009389671361,0.06018099547511314,0.041739256678281066,0.06186224489795925,0.0625,0.08989898989898991,0.06140350877192983,0.04717400979083222,0.05882352941176462,0.04226190476190477,0.07142857142857137,0.04147553516819572,0.07692307692307693,0.05603448275862069,0.045454545454545456,0.05941176470588235,0.0546594982078853,0.05698051948051947
7,DS_Tim,204.0,228.0,188.0,205.0,195.0,179.0,180.0,180.0,178.0,196.0,211.0,199.0,183.0,217.0,206.0,185.0,153.0,224.0,175.0,194.0
8,DS_Mag_10,1.5,0.55,2.6,2.0,3.8,0.0,0.0,0.0,0.5,2.8,0.21000000000000013,2.4,0.0,5.3,0.0,4.7,0.18900000000000006,0.485,0.0,1.4
9,DS_Mag_50,2.3,1.3,7.6,6.1,6.3,2.5,0.0,0.0,3.0,5.2,0.6,3.5,1.0,7.1,1.5,9.9,1.55,1.45,1.9,3.3
10,DS_Dur_WSI,113.0,68.0,91.0,84.0,,,,147.0,110.0,90.0,92.0,,,,82.0,107.0,159.0,51.0,120.0,102.0
11,DS_Dur_WS,130.0,116.0,211.0,183.0,201.0,206.0,124.0,215.0,207.0,111.0,132.0,114.0,144.0,101.0,167.0,168.0,170.0,116.0,194.0,176.0
12,DS_No_Flow,0.0,1.0,0.0,0.0,0.0,44.0,79.0,121.0,0.0,0.0,5.0,0.0,17.0,0.0,54.0,0.0,0.0,0.0,73.0,4.0
13,WSI_Tim,318.0,316.0,295.0,279.0,287.0,,,,325.0,287.0,285.0,303.0,,,,288.0,290.0,311.0,274.0,295.0
14,WSI_Mag,28.978819672934648,18.980273105510868,3.471926146719281,14.005564664454873,10.975789685553536,,,,9.90619773187832,22.996642170570283,14.998381220273387,18.031270789800136,,,,8.796939959247307,47.999523067143755,14.996827578823035,2.4982078692592826,4.690107245061064
15,Wet_Tim,14.0,333.0,343.0,34.0,21.0,30.0,19.0,304.0,28.0,19.0,306.0,343.0,311.0,326.0,317.0,8.0,351.0,322.0,339.0,4.0
16,WSI_Dur,5.0,5.0,7.0,3.0,4.0,,,,5.0,3.0,4.0,7.0,,,,3.0,3.0,6.0,9.0,6.0
17,Wet_BFL_Mag,6.9,4.8,32.800000000000004,11.0,31.0,5.300000000000002,6.0,2.6,15.0,19.200000000000006,5.7,18.0,7.000000000000003,20.5,2.6300000000000003,63.0,18.0,4.500000000000001,6.2,12.900000000000002
18,Peak_Tim_2,-99999.0,82114116145.0,147230.0,125147165171182.0,138.0,131.0,-99999.0,131137.0,121132196.0,-99999.0,83087096115.0,54.0,6.51211621661852e+28,-99999.0,1.1012813714517117e+20,107.0,-99999.0,-99999.0,107132150176.0,
19,Peak_Dur_2,1.0,,3.0,1.0,3.0,2.0,1.0,,3.0,1.0,,1.5,1.0,3.0,,7.0,2.0,,,2.0
20,Peak_Fre_2,3.0,0.0,4.0,2.0,5.0,1.0,1.0,0.0,2.0,3.0,0.0,4.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,4.0
