,Year,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
0,Avg,117.59506849315069,97.86383561643835,78.34986301369862,192.86420765027324,113.20712328767122,156.94602739726028,76.11945205479451,69.09016393442622,56.22493150684931,125.36986301369863,138.31534246575342,83.12786885245902,181.79506849315067,83.31589041095891,193.3312328767123,86.05461748633881,219.24849315068488,138.59260273972606,127.97452054794519,101.74150273224043,131.24575342465755,173.48709589041093,128.26035616438355,48.45609289617487,25.316273972602733,153.2085205479452,119.19126027397259,184.54863387978145,73.6208219178082
1,Std,174.6061579287487,178.51803379705788,136.73502274540607,362.2068429119486,179.06466668041566,268.7818343642636,105.22997348782191,111.6187319584703,94.06225952044315,197.31446182473985,294.90572951174636,102.94629768444138,376.15014967293035,139.24838837596312,291.26733868759,125.88059079998881,329.4297807052933,191.12617284213212,158.5375730327871,142.25187076543628,238.54880771039035,243.2994645936693,260.152146756595,56.996400234160156,41.60118274571947,219.5369694519977,202.87639751606557,284.85951591900374,133.12518530957252
2,CV,1.484808505714835,1.8241471190310865,1.7451852177648282,1.8780407589610908,1.5817438115214135,1.7125749458055768,1.382432093863106,1.6155517023292654,1.6729635234679567,1.5738587973345723,2.1321259395700403,1.2384089608643456,2.069088852578541,1.6713304951686283,1.5065715681507692,1.4627987954274786,1.5025406832733992,1.3790503177219564,1.2388213868978046,1.3981695467955644,1.8175735327492388,1.4024066939673585,2.028312991920697,1.1762483689364782,1.6432585139005944,1.4329292435357448,1.7021079989399774,1.5435471394741769,1.808254537801767
3,SP_Tim,173.0,142.0,162.0,159.0,158.0,147.0,136.0,158.0,162.0,165.0,147.0,144.0,154.0,128.0,173.0,153.0,148.0,146.0,163.0,153.0,144.0,151.0,156.0,139.0,157.0,154.0,145.0,174.0,151.0
4,SP_Mag,1280.0,592.0,494.0,890.0,690.0,1150.0,422.0,280.0,197.0,548.0,878.0,475.0,689.0,493.0,1010.0,399.0,1360.0,594.0,561.0,486.0,1320.0,965.0,1370.0,279.0,196.0,790.0,1030.0,645.0,380.0
5,SP_Dur,37.0,93.0,92.0,41.0,53.0,77.0,115.0,62.0,38.0,79.0,127.0,117.0,124.0,64.0,50.0,29.0,72.0,70.0,43.0,38.0,50.0,117.0,53.0,81.0,85.0,59.0,45.0,41.0,30.0
6,SP_ROC,0.08823529411764706,0.08,0.06711409395973154,0.08375041708375043,0.09807692307692308,0.09016393442622953,0.06250000000000007,0.10714285714285714,0.1176470588235294,0.07983460559796438,0.07843472317156527,0.05701754385964913,0.09523809523809523,0.07462686567164177,0.09105612162380723,0.08771929824561403,0.07502398464982411,0.09090909090909093,0.08275862068965517,0.0981494000338009,0.07954545454545454,0.09111111111111113,0.08180628272251309,0.06742424242424241,0.07317073170731707,0.08208955223880597,0.101010101010101,0.07445887445887446,0.09971963807824646
7,DS_Tim,210.0,235.0,254.0,200.0,211.0,224.0,251.0,220.0,200.0,244.0,274.0,261.0,278.0,192.0,223.0,182.0,220.0,216.0,206.0,191.0,194.0,268.0,209.0,220.0,242.0,213.0,190.0,215.0,181.0
8,DS_Mag_10,5.8,0.3300000000000001,0.1,2.2,2.5,2.2,1.7000000000000002,0.4,1.8,0.9,4.1400000000000015,0.0,3.9,3.25,1.1,2.0,2.9,2.0,6.3,3.91,9.61,1.5,2.0,0.7440000000000001,1.0,1.5,4.699999999999998,3.2,3.3
9,DS_Mag_50,10.0,1.7,1.1,6.7,4.6,5.0,2.2,0.5,8.1,6.05,45.0,0.0,17.0,30.0,2.9,27.0,14.0,13.0,8.7,17.0,13.5,3.1,34.0,2.8,2.5,23.0,12.0,5.3,5.7
10,DS_Dur_WSI,101.0,,,77.0,67.0,57.0,27.0,55.0,82.0,44.0,49.0,,,143.0,69.0,146.0,81.0,115.0,131.0,90.0,,46.0,95.0,107.0,96.0,,,102.0,137.0
11,DS_Dur_WS,203.0,194.0,81.0,201.0,244.0,171.0,164.0,185.0,239.0,132.0,179.0,74.0,147.0,286.0,174.0,255.0,143.0,216.0,185.0,252.0,102.0,201.0,215.0,229.0,172.0,236.0,166.0,200.0,235.0
12,DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
13,WSI_Tim,,309.0,,,277.0,276.0,280.0,277.0,275.0,280.0,287.0,322.0,,,334.0,291.0,328.0,299.0,330.0,336.0,281.0,,313.0,303.0,327.0,336.0,,,317.0
14,WSI_Mag,,38.001332177970475,,,51.024848849763565,48.994805704844005,53.00407481403053,11.00684863084039,1.6376934104447127,23.07944577414768,81.98662276685613,78.01494873132785,,,127.0029843849742,12.08572424326761,72.0009546981022,52.99907096153221,85.95245416868023,30.175565015146738,36.012323835573135,,25.996282702212774,108.01172957888159,17.003477914467034,5.6338485695906755,,,59.90395651929746
15,Wet_Tim,77.0,46.0,63.0,334.0,36.0,88.0,29.0,49.0,40.0,72.0,10.0,87.0,335.0,56.0,112.0,31.0,72.0,361.0,66.0,25.0,78.0,294.0,103.0,58.0,84.0,47.0,83.0,355.0,50.0
16,WSI_Dur,,2.0,,,3.0,4.0,7.0,5.0,19.0,2.0,4.0,6.0,,,3.0,5.0,3.0,2.0,3.0,11.0,3.0,,6.0,5.0,4.0,17.0,,,9.0
17,Wet_BFL_Mag,55.0,20.8,10.0,52.0,12.400000000000002,35.0,11.1,3.8,5.130000000000001,27.0,12.0,10.0,30.5,14.5,61.0,14.0,51.40000000000001,35.80000000000001,51.9,26.5,47.0,25.0,54.0,3.4,1.1700000000000002,62.0,69.80000000000001,45.8,25.0
