,Year,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
0,Avg,,2650.7079889807164,1890.915730337079,1511.3977272727273,834.3008356545961,1113.3259668508288,1328.488950276243,911.4596100278552,2224.7520661157023,2943.284916201117,765.8028169014085,849.1033519553073,1236.4072022160665
1,Std,,2339.013817014885,1626.8413970331806,1436.9563026329831,1032.2499960497482,1658.135446499767,1590.8725328019714,797.2479879047876,2201.4866149807167,3537.426633441205,573.1880604724083,1047.3158071627192,1383.7272231520822
2,CV,,0.8824109734978057,0.8603457948616126,0.950746634524804,1.2372635288562792,1.4893530698740414,1.1975052803195458,0.8746937101035369,0.9895424521728368,1.20186347368876,0.7484799583156955,1.2334373722008871,1.1191517007276952
3,SP_Tim,,172.0,149.0,147.0,135.0,,152.0,130.0,152.0,174.0,135.0,143.0,142.0
4,SP_Mag,,7311.0,7122.0,4700.0,3501.0,27512.0,6624.0,3257.0,9581.0,30981.0,1926.0,3711.0,4759.0
5,SP_Dur,,59.0,56.0,124.0,44.0,,40.0,67.0,61.0,58.0,61.0,118.0,51.0
6,SP_ROC,,0.09326836476217283,0.10080050717051292,0.1827956989247312,0.09686495176848876,,0.09590675258501412,0.12025316455696206,0.08016085790884718,0.09936984973339796,0.10919780695426344,0.0892460865867595,0.059204508466441916
7,DS_Tim,,231.0,205.0,271.0,179.0,207.0,192.0,197.0,213.0,232.0,196.0,261.0,193.0
8,DS_Mag_10,,362.8,133.0,225.40000000000003,140.8,205.0,232.2,188.0,371.8,363.6,183.0,203.0,231.3
9,DS_Mag_50,,779.0,504.5,411.0,287.5,422.0,379.0,325.0,555.5,516.0,286.0,350.0,377.5
10,DS_Dur_WSI,,51.0,71.0,13.0,97.0,99.0,110.0,94.0,125.0,44.0,93.0,46.0,115.0
11,DS_Dur_WS,,137.0,146.0,127.0,160.0,220.0,137.0,156.0,128.0,157.0,181.0,111.0,180.0
12,DS_No_Flow,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,WSI_Tim,,330.0,281.0,275.0,284.0,274.0,305.0,301.0,291.0,336.0,275.0,288.0,307.0
14,WSI_Mag,,1842.5390518844013,1445.9963255474122,833.0025309193422,1103.963004800771,563.9975260721753,15505.860402253442,2072.5887775441033,564.9724119307574,3535.9419873257148,1012.9652522084824,437.9969518408723,1175.9130877254452
15,Wet_Tim,,357.0,2.0,350.0,33.0,337.0,61.0,328.0,353.0,339.0,23.0,11.0,7.0
16,WSI_Dur,,2.0,4.0,0.0,3.0,-1.0,2.0,4.0,4.0,2.0,0.0,2.0,3.0
17,Wet_BFL_Mag,,952.0,818.6000000000001,373.5,453.5,438.8,884.0,364.9,1025.0,843.5,364.4,289.9000000000001,605.5
18,Peak_Tim_2,1.0612517421524926e+17,112130236.0,116137220.0,328.0,327.0,31197.0,-99999.0,173220227231243.0,9.115018419720821e+28,-99999.0,275.0,153213.0,
19,Peak_Dur_2,,1.5,1.0,1.0,1.0,1.0,1.5,,2.0,1.5,,1.0,2.0
20,Peak_Fre_2,,6.0,3.0,3.0,1.0,1.0,2.0,0.0,5.0,10.0,0.0,1.0,2.0
21,Peak_Mag_2,,7065.239999999998,7065.239999999998,7065.239999999998,7065.239999999998,7065.239999999998,7065.239999999998,7065.239999999998,7065.239999999998,7065.239999999998,7065.239999999998,7065.239999999998,7065.239999999998
22,Peak_Tim_5,1.0310612512917418e+32,110129233259.0,116137149195220.0,328.0,327.0,31197233.0,-99999.0,1.0217220021622021e+23,8.209114917517818e+34,-99999.0,275.0,152213.0,
23,Peak_Dur_5,,2.0,3.5,1.0,1.0,1.0,2.0,,1.5,3.0,,1.0,3.0
24,Peak_Fre_5,,11.0,4.0,5.0,1.0,1.0,3.0,0.0,8.0,12.0,0.0,1.0,2.0
25,Peak_Mag_5,,5040.699999999996,5040.699999999996,5040.699999999996,5040.699999999996,5040.699999999996,5040.699999999996,5040.699999999996,5040.699999999996,5040.699999999996,5040.699999999996,5040.699999999996,5040.699999999996
26,Peak_Tim_10,1.0310610912412813e+38,1.101141291391432e+38,1.1513613914514915e+35,328.0,157186194196327.0,31194197224.0,148.0,9.109914217217819e+31,6.208208608814915e+25,133.0,230275.0,115145152202212.0,
27,Peak_Dur_10,,2.0,3.0,2.0,1.0,1.0,1.5,1.0,2.0,2.0,1.0,1.0,3.0
28,Peak_Fre_10,,13.0,13.0,12.0,1.0,5.0,4.0,1.0,11.0,9.0,1.0,2.0,5.0
29,Peak_Mag_10,,3506.600000000001,3506.600000000001,3506.600000000001,3506.600000000001,3506.600000000001,3506.600000000001,3506.600000000001,3506.600000000001,3506.600000000001,3506.600000000001,3506.600000000001,3506.600000000001
30,Peak_Tim_20,1.0310612414115515e+26,1.1011412913814712e+56,1.0911111513614517e+59,1.8320120521723232e+17,6.208909109415718e+37,3.1038076165194212e+22,9.214014816618318e+28,9.109911711912911e+31,6.208208608810511e+28,44132148.0,1.2521021922422728e+17,1.141451522002092e+20,
31,Peak_Dur_20,,5.0,2.0,2.0,2.0,1.0,1.5,1.5,1.0,1.0,2.0,2.0,2.0
32,Peak_Fre_20,,9.0,19.0,20.0,6.0,13.0,8.0,10.0,11.0,10.0,3.0,6.0,7.0
33,Peak_Mag_20,,2318.2000000000007,2318.2000000000007,2318.2000000000007,2318.2000000000007,2318.2000000000007,2318.2000000000007,2318.2000000000007,2318.2000000000007,2318.2000000000007,2318.2000000000007,2318.2000000000007,2318.2000000000007
