,Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965
0,Avg,,2629.852459016393,1451.3780821917808,1055.9315068493152,827.7835616438356,2457.915300546448,1151.4794520547944,2109.054794520548,631.2054794520548,923.4125683060107,581.3342465753425,1087.9397260273972,1883.0684931506848,787.1174863387978,1878.9945205479453
1,Std,,2593.954381523105,1609.3410800226209,1689.3313788707815,1013.4550559421527,5161.294543730569,1697.3124082565405,2453.139128960821,777.983923468509,1830.7194595632227,683.1855385325781,1495.3694798605982,4658.890296846279,834.9275187744121,5127.322144411517
2,CV,,0.9863497751099258,1.1088365600728205,1.5998493916631038,1.2242995668210728,2.09986672143792,1.4740275262643348,1.1631462280326832,1.2325367076088625,1.9825585251905928,1.1752026352433984,1.374496623375384,2.474094975191893,1.060740655957217,2.7287584334819166
3,SP_Tim,,153.0,125.0,133.0,161.0,364.0,147.0,147.0,137.0,92.0,144.0,129.0,144.0,142.0,1.0
4,SP_Mag,,9000.0,4480.0,3690.0,2910.0,15500.0,4510.0,9970.0,2040.0,4590.0,2270.0,4780.0,6600.0,3120.0,15700.0
5,SP_Dur,,81.0,105.0,73.0,55.0,202.0,69.0,78.0,72.0,110.0,67.0,81.0,65.0,72.0,196.0
6,SP_ROC,,0.05503599542488058,0.06289556962025318,0.04880952380952381,0.04658564814814815,0.08044664382692551,0.04797698255709405,0.05947955390334572,0.045603089720736775,0.06615091495331016,0.0596428836037638,0.07563025210084033,0.06896551724137931,0.0497148288973384,0.05882352941176471
7,DS_Tim,,234.0,230.0,206.0,216.0,201.0,216.0,225.0,209.0,202.0,211.0,210.0,209.0,214.0,197.0
8,DS_Mag_10,,98.0,102.0,62.0,55.0,84.0,84.2,95.2,43.0,48.0,38.0,40.0,89.0,67.0,67.0
9,DS_Mag_50,,140.0,146.5,100.5,67.0,171.0,126.0,110.0,56.0,75.0,80.0,48.0,126.0,91.0,195.0
10,DS_Dur_WSI,,85.0,91.0,115.0,,101.0,74.0,95.0,,117.0,86.0,,77.0,93.0,111.0
11,DS_Dur_WS,,128.0,142.0,200.0,117.0,201.0,173.0,143.0,177.0,187.0,183.0,70.0,98.0,129.0,147.0
12,DS_No_Flow,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,WSI_Tim,,277.0,319.0,319.0,320.0,,302.0,288.0,319.0,,319.0,295.0,,285.0,307.0
14,WSI_Mag,,334.01855398005335,437.99478723910124,552.0000349301215,1049.8908798233438,,506.0025072012429,324.0011268137673,217.994861321083,,398.992978570956,240.98799734968648,,354.99216067813995,270.9972532316293
15,Wet_Tim,,357.0,362.0,5.0,40.0,332.0,37.0,22.0,2.0,20.0,24.0,27.0,279.0,306.0,343.0
16,WSI_Dur,,10.0,4.0,6.0,2.0,,2.0,3.0,2.0,,4.0,3.0,,3.0,2.0
17,Wet_BFL_Mag,,768.6,450.0,246.0,235.0,811.6000000000001,263.6,479.6,130.4,199.4,133.8,257.4,286.4000000000001,272.0,687.5999999999998
18,Peak_Tim_2,1.2420621422022324e+23,100208.0,159.0,-99999.0,7.910611411621622e+16,147155229.0,147183216220228.0,-99999.0,130158.0,-99999.0,132.0,12122187.0,45.0,81097.0,
19,Peak_Dur_2,,2.5,1.5,2.0,,2.0,2.0,2.0,,2.0,,1.0,3.0,1.0,5.0
20,Peak_Fre_2,,8.0,2.0,1.0,0.0,6.0,3.0,5.0,0.0,2.0,0.0,1.0,3.0,1.0,2.0
21,Peak_Mag_2,,7160.0,7160.0,7160.0,7160.0,7160.0,7160.0,7160.0,7160.0,7160.0,7160.0,7160.0,7160.0,7160.0,7160.0
