,Year,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Avg,274.832602739726,157.68465753424655,423.03251366120224,252.49479452054797,394.53972602739725,,,,,,,,,,,,,,,193.00576923076926,410.2063013698631,340.1641095890411,185.4448087431694,44.155068493150694,261.3871232876712,139.9476712328767,269.32459016393443,139.1578082191781,361.80273972602737,393.5531506849315,329.3489071038251,184.0682191780822,251.21452054794526,130.79232876712328,127.90245901639344,239.1528767123288,148.87479452054797,91.59753424657534,68.97650273224046,256.30076712328764,,,,,334.4257534246575,296.3202739726027,187.98497267759564,76.8331506849315,206.39586301369857,261.91912328767125,200.02767759562843,195.09652054794518,349.85523287671236,195.5885479452055,193.4487158469945,154.9621095890411,185.27660273972612,269.8786849315068,210.01909836065573,134.55,69.86701369863013,133.63265753424656
1,Std,503.6165362328745,263.4611916215292,870.268389452683,429.13867005583,628.1548224084518,,,,,,,,,,,,,,,271.98449090139644,588.6078358517208,706.0942014452589,276.0907272730571,58.23689136111464,336.783739193084,254.96934368783286,401.9875520008423,217.5288268111292,510.37719019022245,554.3887582348658,443.53543304640056,300.1511731044987,542.1518885721089,172.43764152621898,224.69239025800331,367.33643192277015,238.32524540543443,116.85369458911234,97.46650255349043,334.4901851580741,,,,,486.7499442357168,411.44745815455315,319.4230395835632,95.71956569686508,350.5421989403756,427.4338397277839,365.154961635333,294.4960878493606,576.0698866476238,270.835503942843,288.0379262610124,265.3593432303811,218.14348224252998,329.4080121787958,374.07029573075454,255.59064802065126,147.87560549090298,269.3727907267109
2,CV,1.8324483020299207,1.6708105642066648,2.05721395247095,1.6995941277550053,1.5921205926037263,,,,,,,,,,,,,,,1.4092039423764349,1.4349068600021373,2.0757457401908312,1.4888026747377283,1.318917473090282,1.2884480878671078,1.821890578397385,1.4925764920171516,1.5631808922178063,1.4106504295039388,1.4086756954429651,1.3467038252735992,1.6306518009722724,2.1581232143332145,1.3184079154462145,1.7567480092716918,1.5359900201603272,1.6008434884693683,1.2757296967683525,1.4130392045512248,1.305068997304933,,,,,1.455479846426888,1.3885228055391,1.6991945421690215,1.2458107580330895,1.6983974088526663,1.6319306294345082,1.8255221778534183,1.5094891852619579,1.646595027065462,1.3847206638024538,1.488962720687336,1.7124143697715075,1.1773935781247826,1.220578098868375,1.7811251388594265,1.899596046233008,2.116529641996168,2.0157706633775336
3,SP_Tim,100.0,124.0,57.0,145.0,97.0,,,,,,,,,,,,,,,96.0,95.0,120.0,105.0,152.0,115.0,132.0,104.0,144.0,108.0,132.0,163.0,97.0,72.0,126.0,162.0,118.0,155.0,143.0,112.0,161.0,,,,,153.0,128.0,166.0,141.0,125.0,123.0,117.0,175.0,151.0,116.0,124.0,130.0,159.0,112.0,114.0,103.0,133.0,103.0
4,SP_Mag,780.0,433.0,2830.0,880.0,806.0,,,,,,,,,,,,,,,598.0,3710.0,464.0,373.0,113.0,378.0,662.0,502.0,186.0,2120.0,398.0,268.0,583.0,1500.0,125.0,372.0,207.0,1020.0,207.0,679.0,481.0,,,,,345.0,467.0,83.0,136.0,143.0,1090.0,363.0,303.0,165.0,547.0,253.0,629.0,540.0,1230.0,754.0,409.0,141.0,176.0
5,SP_Dur,101.0,51.0,96.0,39.0,53.0,,,,,,,,,,,,,,,62.0,64.0,48.0,67.0,56.0,49.0,31.0,75.0,62.0,62.0,42.0,22.0,44.0,99.0,39.0,47.0,20.0,62.0,50.0,46.0,41.0,,,,,39.0,50.0,16.0,34.0,34.0,59.0,54.0,44.0,26.0,58.0,52.0,55.0,63.0,81.0,37.0,60.0,59.0,59.0
6,SP_ROC,0.05333333333333334,0.054054054054054064,0.04593267882187938,0.05,0.052176870748299325,,,,,,,,,,,,,,,0.05,0.04651162790697674,0.052435192458758835,0.04083333333333333,0.06,0.05960264900662252,0.058586378452564765,0.06357627047282219,0.054804804804804805,0.05288461538461538,0.051768804716812576,0.05045223289994347,0.047619047619047616,0.0625,0.0392156862745098,0.05357142857142857,0.0513977547875853,0.05882352941176471,0.06451612903225806,0.057972367438386865,0.054054054054054064,,,,,0.0547945205479452,0.055357142857142855,0.05555555555555555,0.047619047619047616,0.05076505485947271,0.059727480100951226,0.053846153846153794,0.05,0.0595399188092017,0.048582995951417005,0.04498269896193762,0.04850746268656719,0.04428044280442815,0.05430353834457338,0.07079646017699115,0.05688950326917281,0.044843049327354265,0.045719833656046455
7,DS_Tim,201.0,175.0,153.0,184.0,150.0,,,,,,,,,,,,,,,158.0,159.0,168.0,172.0,208.0,164.0,163.0,179.0,206.0,170.0,174.0,185.0,141.0,171.0,165.0,209.0,138.0,217.0,193.0,158.0,202.0,,,,,192.0,178.0,182.0,175.0,159.0,182.0,171.0,219.0,177.0,174.0,176.0,185.0,222.0,193.0,151.0,163.0,192.0,162.0
8,DS_Mag_10,9.2,7.4,8.3,8.5,,,,,,,,,,,,,,,,3.6,3.5,5.2,6.0,3.1,6.4,4.01,5.84,4.8,5.11,10.0,6.619999999999999,4.2,4.9,2.0,4.7,6.800000000000002,6.5,3.0,2.1,,,,,,3.8,2.2,3.0,2.7,1.264,3.1039999999999996,2.9560000000000004,5.877999999999999,2.464,3.68,2.443,2.86,4.9129999999999985,4.867,3.381,3.506,1.7800000000000002,2.507
9,DS_Mag_50,12.0,11.5,19.0,20.5,,,,,,,,,,,,,,,,7.8,7.3,12.0,12.0,6.9,13.0,8.5,12.0,6.9,11.0,18.0,12.0,8.7,13.0,4.4,5.8,16.0,10.0,8.7,4.7,,,,,,6.9,7.05,7.1,4.0,5.08,5.01,6.97,8.76,4.32,12.0,7.19,5.87,9.185,14.5,10.25,8.93,3.95,4.585
