,Year,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
0,Avg,44.52515068493151,94.30095890410959,109.91402739726028,97.51519125683062,55.07676712328768,76.76013698630136,43.05660273972602,44.461393442622956,77.27235616438357,53.98438356164383,29.473150684931504,
1,Std,87.09048662508283,149.74809268906236,185.87533555629062,156.87558572321467,115.3083636000609,179.73330867532178,81.50436386648595,119.72015504050144,180.4819171511597,136.86031115639582,52.56710354399119,
2,CV,1.9559840962999044,1.5879805935094942,1.6910974873524085,1.6087297138149852,2.0935935354002644,2.341492807749901,1.892958540161048,2.692676629557265,2.3356595567917675,2.535183364650583,1.7835590129448475,
3,SP_Tim,91.0,108.0,133.0,163.0,96.0,131.0,77.0,158.0,119.0,155.0,143.0,
4,SP_Mag,352.0,912.0,102.0,103.0,245.0,208.0,404.0,234.0,43.0,467.0,56.0,
5,SP_Dur,97.0,37.0,23.0,24.0,94.0,21.0,37.0,38.0,68.0,26.0,46.0,
6,SP_ROC,0.08333333333333333,0.08333333333333333,0.07692307692307693,0.07692307692307693,0.07142857142857134,0.09173669467787116,0.09090909090909093,0.09433962264150944,0.07692307692307693,0.09090909090909093,0.07142857142857142,
7,DS_Tim,188.0,145.0,156.0,187.0,190.0,152.0,114.0,196.0,187.0,181.0,189.0,
8,DS_Mag_10,0.5,0.7,1.45,0.79,0.56,0.41,0.24,0.34,1.2,1.4,,
9,DS_Mag_50,1.3,1.75,3.1500000000000004,1.35,0.99,3.3,0.75,0.56,2.3,2.9,,
10,DS_Dur_WSI,94.0,158.0,,,108.0,123.0,,,112.0,124.0,,
11,DS_Dur_WS,111.0,172.0,146.0,102.0,122.0,161.0,207.0,115.0,176.0,188.0,,
12,DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
13,WSI_Tim,288.0,280.0,302.0,,,296.0,274.0,,,297.0,304.0,
14,WSI_Mag,11.98074541487409,53.98984626806448,252.9570500057116,,,78.99750051490868,16.043763692901678,,,24.99477042731996,10.975361946398834,
15,Wet_Tim,323.0,297.0,316.0,301.0,289.0,310.0,312.0,320.0,311.0,361.0,3.0,
16,WSI_Dur,4.0,2.0,5.0,,,5.0,4.0,,,8.0,6.0,
17,Wet_BFL_Mag,7.610000000000002,14.200000000000005,23.4,15.0,5.6,14.6,14.0,7.2,9.0,6.08,6.65,
18,Peak_Tim_2,45079138143192.0,4.805907508111711e+28,4.7049054066070086e+19,41057130134.0,62107138157.0,124.0,62069106.0,52100155.0,98.0,-99999.0,None,
19,Peak_Dur_2,1.0,2.0,2.0,1.0,1.5,1.5,1.0,2.0,2.0,3.0,,
20,Peak_Fre_2,4.0,5.0,10.0,7.0,4.0,4.0,1.0,3.0,3.0,1.0,0.0,
21,Peak_Mag_2,470.82000000000016,470.82000000000016,470.82000000000016,470.82000000000016,470.82000000000016,470.82000000000016,470.82000000000016,470.82000000000016,470.82000000000016,470.82000000000016,470.82000000000016,
22,Peak_Tim_5,4.405105305606606e+37,4.805907508011712e+37,4.0043047054066073e+31,32040057129133.0,6.206710712513716e+16,92094124135162.0,6.106406606910012e+19,5.1082100155159176e+22,98121123131242.0,104.0,None,
23,Peak_Dur_5,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.5,2.0,1.0,
24,Peak_Fre_5,5.0,13.0,13.0,11.0,5.0,6.0,5.0,7.0,8.0,5.0,1.0,
25,Peak_Mag_5,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,
26,Peak_Tim_10,2.804305106607809e+28,2.8047058075110116e+25,3.904605306508412e+34,3.2038048050053126e+25,5.806210711412413e+25,9.211511912413517e+19,61066100244.0,5.108109009610012e+34,9.810412114515416e+25,103126163173.0,None,
27,Peak_Dur_10,3.5,7.0,6.0,4.5,3.0,4.0,2.0,5.0,3.0,2.0,2.0,
28,Peak_Fre_10,6.0,10.0,9.0,12.0,9.0,9.0,7.0,4.0,12.0,9.0,4.0,
29,Peak_Mag_10,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,
30,Peak_Tim_20,9.027042062065107e+24,2.8047058072110123e+28,3.603906308413317e+34,3.2036072075129168e+19,5.8061107120134154e+25,5.106508309210412e+25,61094099244252.0,4.304605108109014e+22,9.812114316023325e+16,103124154187.0,None,
31,Peak_Dur_20,8.0,11.0,11.5,7.0,2.0,11.0,3.0,7.0,5.5,9.5,5.0,
32,Peak_Fre_20,7.0,9.0,10.0,12.0,7.0,9.0,9.0,5.0,8.0,6.0,4.0,
33,Peak_Mag_20,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,
