Year,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,13.73013698630137,25.30958904109589,39.728767123287675,22.07431693989071,56.46191780821918,26.482191780821925,55.580821917808215,26.666939890710392,61.93424657534246,44.745205479452046,46.52054794520548,30.42076502732241,36.15068493150685,45.454794520547935,40.30684931506849,18.70601092896175,10.205753424657537,28.17945205479452,27.08630136986301,51.24535519125683,19.4454794520548,66.86027397260274,85.34520547945205,63.58196721311475,28.248767123287678,57.441095890410956,19.22027397260274,10.262841530054644,24.504383561643838,15.538630136986306,14.45945205479452,12.54289617486339,39.104109589041094,16.980821917808214,65.56602739726027,57.133879781420774,62.96986301369864,55.36438356164385,55.13972602739726,29.352459016393446,14.633698630136989,20.35232876712329,28.662465753424648,21.953005464480878,36.8986301369863,67.87671232876714,22.534520547945213,18.191256830601095,21.296438356164387,28.18246575342466,71.98356164383561,22.777868852459026,18.6572602739726,15.038630136986306,11.504109589041095
Std,7.214492357833277,22.38369247626961,38.09474590548285,12.99578941681558,48.22568805214535,14.787154203655016,62.8749327351349,13.774266214989975,66.3410123759239,27.88750906667857,36.344135058141276,17.48857567659968,32.712140611193355,34.89901298245495,41.546001336584546,8.221723652922005,5.167187814643797,26.572908022940325,23.079158095020052,42.56629696010327,9.638610290481171,57.257809994832925,82.93953077202575,40.74695472826577,14.22587185331234,52.55718304104571,8.555573361346239,3.9550322944695546,20.473845192068122,7.497185830946789,10.944692826645207,5.714179594900062,36.99685376610733,7.051463610519344,69.45586474324632,47.51883261669322,50.73273155139754,50.76274485994522,48.17240368340849,13.71604429135524,6.347018609098661,14.173342769501314,26.07720338506055,11.620524485918827,38.23407536048728,66.03115603465844,8.277976233570037,10.8525150092932,13.800562363949833,24.438421791790987,75.03069511361667,11.018686405512181,9.162032026251909,7.404287043100505,4.49086861525664
CV,0.5254494084823199,0.8843957300106524,0.9588705782705496,0.5887289492220147,0.8541277010099205,0.5583810556935734,1.1312343100667541,0.5165296907497188,1.0711523275772905,0.6232513353745823,0.7812490751602806,0.5748894106013547,0.9048830104649924,0.7677740786327562,1.0307429641009629,0.4395230861430027,0.5063014556240063,0.9429888122476514,0.8520601532071329,0.8306371728957336,0.4956735736059553,0.8563801281803812,0.9718124211675196,0.6408570938311751,0.5035926626895105,0.9149752842688964,0.445132747511386,0.38537400025979895,0.8355176591389702,0.4824869222610159,0.7569230690879551,0.4555709873730418,0.9461116530952972,0.4152604417295194,1.05932702499143,0.8317102356515574,0.8056668559110729,0.916884494946556,0.873642419976354,0.4672877418445516,0.43372620753768015,0.6963990672358156,0.9098032112587796,0.5293363819692202,1.036192271055677,0.9728101696327076,0.3673464547851167,0.5965786262242883,0.6480220839347615,0.8671498798440409,1.0423309627947814,0.4837452738394637,0.4910706015627172,0.4923511633476679,0.3903708131861571
SP_Tim,170.0,175.0,173.0,151.0,168.0,145.0,185.0,159.0,162.0,182.0,182.0,163.0,157.0,162.0,170.0,139.0,166.0,168.0,151.0,188.0,152.0,174.0,173.0,156.0,150.0,159.0,142.0,138.0,166.0,134.0,166.0,133.0,176.0,155.0,193.0,164.0,160.0,184.0,173.0,153.0,137.0,157.0,159.0,162.0,157.0,162.0,144.0,146.0,146.0,167.0,184.0,135.0,153.0,150.0,166.0
SP_Mag,33.0,82.0,160.0,61.0,193.0,63.0,265.0,63.0,264.0,119.0,186.0,94.0,155.0,155.0,178.0,38.0,34.0,112.0,110.0,156.0,40.0,232.0,327.0,216.0,56.0,235.0,33.0,16.0,72.0,37.0,51.0,27.0,137.0,31.0,265.0,210.0,150.0,206.0,203.0,74.0,39.0,63.0,127.0,42.0,158.0,281.0,41.0,54.0,61.0,105.0,416.0,45.0,42.0,31.0,27.0
SP_Dur,36.0,51.0,69.0,73.0,96.0,80.0,71.0,64.0,84.0,59.0,48.0,72.0,73.0,104.0,53.0,104.0,54.0,73.0,115.0,59.0,90.0,77.0,88.0,99.0,91.0,91.0,54.0,64.0,47.0,117.0,55.0,121.0,85.0,77.0,75.0,95.0,82.0,61.0,83.0,55.0,77.0,85.0,69.0,62.0,92.0,81.0,65.0,90.0,100.0,70.0,67.0,84.0,70.0,61.0,71.0
SP_ROC,0.0625,0.07547169811320754,0.038461538461538464,0.05263157894736842,0.043478260869565216,0.05263157894736842,0.04083333333333333,0.045454545454545456,0.03252247488101534,0.038461538461538464,0.03448275862068965,0.045454545454545456,0.040816326530612235,0.04201680672268908,0.03125,0.045454545454545456,0.05000000000000002,0.038461538461538464,0.045454545454545456,0.03333333333333333,0.038461538461538436,0.027777777777777776,0.03416874221668742,0.02985074626865672,0.05718954248366012,0.03448275862068965,0.06350806451612903,0.05882352941176471,0.05,0.06066176470588234,0.0625,0.07692307692307693,0.03279569892473118,0.04545454545454547,0.028571428571428567,0.03636363636363636,0.028991596638655463,0.02985074626865672,0.03225806451612903,0.03333333333333333,0.05999999999999996,0.05263157894736842,0.037037037037037035,0.05,0.03571428571428571,0.03149801587301587,0.06066176470588235,0.046536796536796536,0.05263157894736842,0.04040816326530612,0.034883720930232565,0.05718954248366012,0.07142857142857142,0.046536796536796536,0.04591747146619843
DS_Tim,206.0,226.0,242.0,224.0,264.0,225.0,256.0,223.0,246.0,241.0,230.0,235.0,230.0,266.0,223.0,243.0,220.0,241.0,266.0,247.0,242.0,251.0,261.0,255.0,241.0,250.0,196.0,202.0,213.0,251.0,221.0,254.0,261.0,232.0,268.0,259.0,242.0,245.0,256.0,208.0,214.0,242.0,228.0,224.0,249.0,243.0,209.0,236.0,246.0,237.0,251.0,219.0,223.0,211.0,237.0
DS_Mag_10,6.0,8.1,15.0,8.030000000000001,20.0,7.200000000000001,,10.0,21.0,18.0,17.6,13.0,16.0,15.0,,7.6,3.25,12.0,9.9,18.0,6.33,28.0,36.0,21.0,13.4,,,3.5,11.0,5.8,5.9,5.6,,7.1400000000000015,20.0,20.0,19.0,25.0,20.0,13.0,7.2,9.5,13.0,10.0,17.0,,11.0,9.15,10.900000000000002,15.0,,7.6,9.1,6.8,5.4
DS_Mag_50,10.0,14.0,17.0,9.3,25.0,17.0,,14.0,26.0,21.0,22.0,18.0,22.0,17.0,,9.0,6.6,14.0,14.0,20.0,16.5,33.0,46.0,24.0,16.0,,,5.85,14.0,8.0,6.4,9.55,,12.0,24.0,21.0,21.0,29.0,22.0,14.0,12.0,13.0,17.0,14.0,32.0,,12.0,13.0,14.0,23.0,,9.25,11.0,8.6,6.2
