Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962
Avg,0.07397260273972603,5.870491803278688,0.4441095890410959,0.9131506849315069,0.07150684931506848,0.865846994535519,0.083013698630137,2.845479452054794,0.10164383561643836,0.02459016393442623,0.05643835616438356,0.3471232876712329,0.009863013698630138
Std,0.5220159545297793,37.295417953209444,2.9795282496949027,7.658219127850205,0.6196854509928926,12.159797044906243,1.0235242432520473,17.41172530781437,0.8470723371588809,0.08681820281721042,0.790590848692074,1.0133485511757605,0.07336329474318308
CV,7.056882348272943,6.35303126262434,6.70899328278001,8.38658860385636,8.666099218866124,14.043817350696388,12.32958246821773,6.119083128588721,8.333730540781442,3.5306069145665573,14.008041736534322,2.9192756209877864,7.438222939239394
SP_Tim,nan,80.0,12.0,nan,nan,nan,nan,97.0,nan,nan,nan,101.0,nan
SP_Mag,nan,184.0,8.7,nan,nan,nan,nan,175.0,nan,nan,nan,2.6,nan
SP_Dur,nan,13.0,116.0,nan,nan,nan,nan,42.0,nan,nan,nan,36.0,nan
SP_ROC,nan,0.16666666666666663,0.6666666666666666,nan,nan,nan,nan,0.25757575757575757,nan,nan,nan,0.1333333333333333,nan
SU_BFL_Tim,nan,93.0,128.0,nan,nan,nan,nan,139.0,nan,nan,nan,137.0,nan
SU_BFL_Mag_10,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SU_BFL_Mag_50,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SU_BFL_Dur_Fl,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SU_BFL_Dur_Wet,nan,219.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SU_BFL_No_Flow,nan,170.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FAFL_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FAFL_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FAFL_Tim_Wet,nan,365.0,312.0,nan,nan,nan,nan,73.0,nan,nan,nan,18.0,nan
FAFL_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag,nan,0.2,0.0,nan,nan,nan,nan,0.75,nan,nan,nan,0.0,nan
WIN_Tim_2,None,089103107116142161164166177211231,045060080098,None,None,None,None,117125141166182201,None,None,None,111133137141,None
WIN_Dur_2,nan,2.0,1.5,nan,nan,nan,nan,1.5,nan,nan,nan,1.0,nan
WIN_Fre_2,nan,11.0,4.0,nan,nan,nan,nan,6.0,nan,nan,nan,4.0,nan
WIN_Mag_2,nan,24.0,25.5,nan,nan,nan,nan,25.5,nan,nan,nan,7.35,nan
WIN_Tim_5,None,089103107116231,044060080090098151,None,None,None,None,077117125141166171174221,None,None,None,111117130133137141148153156187,None
WIN_Dur_5,nan,2.0,1.5,nan,nan,nan,nan,1.5,nan,nan,nan,2.0,nan
WIN_Fre_5,nan,5.0,6.0,nan,nan,nan,nan,8.0,nan,nan,nan,10.0,nan
WIN_Mag_5,nan,99.0,14.85,nan,nan,nan,nan,8.2,nan,nan,nan,3.05,nan
WIN_Tim_10,None,065071085097103231,044053059077080094097145170208,None,None,None,None,065075117125141147156161,None,None,None,031103111123130140181,None
WIN_Dur_10,nan,3.5,3.5,nan,nan,nan,nan,2.5,nan,nan,nan,8.0,nan
WIN_Fre_10,nan,6.0,10.0,nan,nan,nan,nan,8.0,nan,nan,nan,7.0,nan
WIN_Mag_10,nan,2.65,1.7,nan,nan,nan,nan,3.95,nan,nan,nan,2.6,nan
WIN_Tim_20,None,000,000,None,None,None,None,000,None,None,None,000,None
WIN_Dur_20,nan,365.0,365.0,nan,nan,nan,nan,365.0,nan,nan,nan,365.0,nan
WIN_Fre_20,nan,1.0,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan
WIN_Mag_20,nan,593.0,39.0,nan,nan,nan,nan,175.0,nan,nan,nan,11.0,nan
WIN_Tim_50,None,000,000,None,None,None,None,000,None,None,None,000,None
WIN_Dur_50,nan,365.0,365.0,nan,nan,nan,nan,365.0,nan,nan,nan,365.0,nan
WIN_Fre_50,nan,1.0,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan
WIN_Mag_50,nan,593.0,39.0,nan,nan,nan,nan,175.0,nan,nan,nan,11.0,nan
