Year,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
Avg,2.3945205479452056,3.8147945205479448,1.0745901639344262,7.9610958904109586,1.4405479452054792,11.493698630136988,1.5065300546448086,10.768630136986301,2.659945205479452,3.7483561643835617,0.4742896174863388,14.267424657534244,7.745150684931506,7.189452054794521,0.3836065573770492,0.2331780821917808,7.429479452054795,2.245150684931507,7.849508196721313,2.5361369863013694,15.135671232876716,29.39430136986301,7.730382513661201,2.5504383561643835,9.609123287671236,0.8947945205479453
Std,9.69034387914862,12.609739670065329,4.338068143142529,28.79503893541689,3.7524274847787766,30.11258215644009,5.712044721408433,27.88303570838828,8.969499489541654,10.495544444582922,0.7451947434994411,33.37579890087608,21.128520147124146,18.88415737330517,0.31155716499677216,0.2000089958569846,21.75270012533452,6.300926506499481,36.45994796717432,9.830512752015334,42.934771978239496,55.63833517168087,15.452165139680474,5.349751019648245,37.72270587337894,2.2926636477280766
CV,4.046882741292044,3.305483323451484,4.036951284999149,3.616969237878439,2.6048612246942824,2.6199209780464896,3.791523908731544,2.5892834421548443,3.3720617518979727,2.800039266361705,1.5711808060417964,2.339300869078093,2.727967602777634,2.6266476540046817,0.8121789343932949,0.8577521265162658,2.9278902062671843,2.806460407663775,4.644870360464544,3.87617577643228,2.8366612433401293,1.8928272685101124,1.9988875210732808,2.0975809929763454,3.925717752188505,2.562223611208659
SP_Tim,70.0,135.0,129.0,106.0,61.0,115.0,96.0,101.0,65.0,111.0,140.0,86.0,118.0,102.0,104.0,136.0,110.0,120.0,70.0,90.0,106.0,124.0,81.0,158.0,79.0,86.0
SP_Mag,40.0,6.8,0.7,52.0,4.7,76.0,3.5,19.0,41.0,4.7,0.35,59.0,19.0,24.0,0.78,0.5,25.0,3.6,71.0,40.0,112.0,112.0,11.0,2.0,185.0,12.0
SP_Dur,33.0,20.0,11.0,29.0,50.0,31.0,119.0,79.0,36.0,44.0,28.0,35.0,25.0,45.0,71.0,67.0,27.0,82.0,102.0,41.0,33.0,26.0,82.0,36.0,147.0,176.0
SP_ROC,0.1180555555555556,0.09545454545454547,0.2500000000000001,0.07947368421052634,0.11233019853709507,0.07968253968253969,0.13043478260869565,0.05825791855203615,0.11428571428571425,0.06666666666666672,0.22222222222222213,0.07482517482517484,0.05357142857142862,0.06904761904761911,0.09433962264150952,0.20000000000000004,0.06666666666666668,0.11764705882352945,0.08333333333333323,0.10526315789473682,0.07059800664451825,0.08333333333333333,0.04761904761904767,0.05882352941176475,0.07317073170731701,0.1052631578947368
DS_Tim,103.0,155.0,140.0,135.0,111.0,146.0,215.0,180.0,101.0,155.0,168.0,121.0,143.0,147.0,175.0,203.0,137.0,202.0,172.0,131.0,139.0,150.0,163.0,194.0,226.0,262.0
DS_Mag_10,0.0,0.1,0.1,0.1,0.1,0.4,0.17,0.22,0.17,0.23100000000000004,0.0,0.08,0.18,,0.01,0.01,0.1,0.0,0.11,0.04,0.3320000000000001,0.79,0.22,0.11,0.3260000000000001,0.36
DS_Mag_50,0.3,0.2,0.1,0.3,0.2,0.6,0.27,0.3,0.335,0.495,0.08,0.52,0.495,,0.095,0.09,0.24,0.125,0.24,0.36,1.1,2.2,0.37,0.21,0.46,0.46
DS_Dur_WSI,184.0,130.0,177.0,187.0,200.0,194.0,93.0,,,,120.0,161.0,159.0,,,,,97.0,,172.0,161.0,,122.0,102.0,58.0,22.0
DS_Dur_WS,339.0,221.0,208.0,214.0,266.0,225.0,160.0,191.0,224.0,192.0,197.0,229.0,248.0,,128.0,164.0,269.0,164.0,208.0,230.0,213.0,162.0,144.0,199.0,157.0,121.0
DS_No_Flow,84.0,4.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,,12.0,16.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSI_Tim,,286.0,284.0,317.0,320.0,310.0,339.0,308.0,,,,288.0,280.0,301.0,301.0,,,,298.0,,301.0,299.0,,285.0,294.0,283.0
WSI_Mag,,7.46178991586734,1.2376272400029942,1.5504872655310011,1.02934617057678,1.2019405367298803,2.5335955273243527,1.0148154552361404,,,,1.2425323520597882,1.4278572086220167,1.4005796212249644,1.350873498071461,,,,1.2236308541158485,,2.113064787691252,2.431320860556716,,1.1077285662728131,1.1381070260752475,1.2819101810393527
Wet_Tim,33.0,76.0,10.0,348.0,347.0,11.0,5.0,10.0,4.0,324.0,346.0,365.0,348.0,25.0,,303.0,365.0,40.0,365.0,15.0,359.0,351.0,311.0,307.0,26.0,17.0
WSI_Dur,,4.0,0.0,9.0,9.0,2.0,3.0,3.0,,,,3.0,3.0,3.0,8.0,,,,1.0,,5.0,5.0,,3.0,5.0,5.0
Wet_BFL_Mag,0.5400000000000001,0.9,0.3,1.6,0.7,2.2,0.1670000000000001,1.5,1.1,0.875,0.13,3.6,2.49,1.91,,0.06,2.36,0.13200000000000006,0.96,0.7050000000000001,3.98,3.46,1.96,0.601,0.47600000000000003,0.08
Peak_Tim_2,178187196202.0,-99999.0,83088091097191.0,-99999.0,1.121151201631662e+20,121.0,1.1011211612813411e+26,112151.0,62.0,-99999.0,1.0010712112813216e+23,87095182.0,124131158172175.0,-99999.0,-99999.0,105131155.0,-99999.0,104140157.0,163.0,95137168180192.0,6.008211312913516e+25,50054071085.0,-99999.0,137160165.0,-99999.0,
Peak_Dur_2,,1.0,,1.0,,2.0,1.0,2.0,1.0,1.0,,2.0,2.0,1.0,,,2.0,,2.0,1.0,3.0,5.0,1.5,,4.0,
Peak_Fre_2,,4.0,0.0,5.0,0.0,7.0,1.0,9.0,2.0,1.0,0.0,8.0,3.0,5.0,0.0,0.0,3.0,0.0,3.0,1.0,5.0,9.0,4.0,0.0,3.0,0.0
Peak_Mag_2,,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
Peak_Tim_5,135178187195200.0,112.0,83115190.0,89.0,112120162181187.0,121.0,110116127133.0,107112151154.0,59062079081104.0,-99999.0,1.0010712112514915e+17,6.108709515217818e+16,1.231261291311352e+26,-99999.0,-99999.0,96105131152187.0,143151178.0,103139150156.0,119163169176.0,9.009309511213716e+19,60081113145209.0,5.005406908413814e+16,130177.0,136158160.0,135.0,
Peak_Dur_5,,3.0,2.0,5.0,3.0,5.0,2.0,7.0,2.0,1.0,,6.0,3.5,2.0,,,6.0,1.0,4.0,2.0,5.0,9.0,2.5,1.5,10.0,1.0
Peak_Fre_5,,5.0,1.0,3.0,1.0,5.0,1.0,4.0,4.0,5.0,0.0,6.0,6.0,9.0,0.0,0.0,5.0,3.0,4.0,4.0,7.0,5.0,6.0,2.0,3.0,1.0
Peak_Mag_5,,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
Peak_Tim_10,122135178187195.0,112.0,82115190.0,88128.0,66112161180.0,121164167.0,110171186.0,105107112151.0,59061077103176.0,-99999.0,41044100107.0,6.108710715117821e+16,1.231291411571862e+17,-99999.0,-99999.0,9.61051291521712e+25,106143177.0,84102138187.0,119163.0,8.208911113715216e+19,48059081110113.0,4.704905406306909e+25,5.807613015716018e+16,124136158.0,135173.0,
Peak_Dur_10,,2.0,6.0,10.0,4.0,15.5,3.0,3.0,5.5,5.0,,4.0,9.5,6.5,,,7.0,6.0,6.5,10.5,8.0,5.0,4.0,2.5,14.0,1.0
Peak_Fre_10,,5.0,1.0,3.0,2.0,4.0,3.0,3.0,4.0,5.0,0.0,4.0,6.0,6.0,0.0,0.0,9.0,3.0,4.0,2.0,7.0,5.0,9.0,6.0,3.0,2.0
Peak_Mag_10,,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
Peak_Tim_20,1.2122132173177186e+19,50111174.0,80163177181.0,5.508508812114815e+19,65112147161.0,121159164183.0,86110215.0,105136139151.0,5.807713714116317e+28,85118128.0,41044067077100.0,61082086134.0,64097122.0,-99999.0,-99999.0,96128.0,1.061091381411652e+23,84100137187203.0,118155163.0,4.405708108713625e+16,48059081109273.0,43047.0,4.3046057070075125e+22,122135214217.0,135164171.0,
Peak_Dur_20,,5.0,3.0,15.5,2.0,18.0,4.5,2.0,10.5,1.0,4.0,5.0,25.0,3.0,,,56.5,2.0,8.0,7.0,5.0,9.0,81.5,7.5,5.0,4.0
Peak_Fre_20,,7.0,3.0,4.0,7.0,4.0,4.0,3.0,4.0,10.0,3.0,5.0,4.0,3.0,0.0,0.0,2.0,8.0,5.0,3.0,6.0,5.0,2.0,8.0,4.0,3.0
Peak_Mag_20,,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
