Year,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,2.525287671232877,4.735765027322405,0.6645205479452054,10.272246575342466,10.346410958904109,2.9321857923497268,1.1063835616438358,4.69731506849315,0.4608219178082192,0.16158469945355192,0.3464383561643836,0.0541917808219178,0.3664383561643836,0.7108196721311475,4.515726027397262,0.4931232876712329,4.914657534246575,4.289863387978142,5.531890410958903,8.929945205479452,3.788904109589041,3.3134699453551915,0.627917808219178,2.1073424657534248,2.1138082191780816,2.119453551912569,3.601123287671233,7.7665479452054775,0.539095890410959,1.3836885245901642,0.7669589041095891,2.0235616438356163,3.876356164383562,1.2580054644808742,1.6390958904109592,0.13435616438356165,0.8721643835616439
Std,9.201551014998984,16.666433998577528,2.1284793215299325,41.50257906354136,26.147574066909872,7.051029543739225,4.534187766534989,24.506440627785945,3.1053127049757796,0.6973867710243529,1.0630467584182737,0.16836430311257222,2.143705516644124,2.542608785760643,18.951731531301515,1.8383566510829643,14.795807558936193,12.094261803044127,22.643472299897144,27.823174857932358,11.570606069969775,14.11648575956199,2.284013541172252,5.830370302906891,6.873286427858546,9.475414389010698,8.682857846473155,21.52143489960909,2.2848601178033454,5.210019068090665,2.893470648818025,5.142974345931775,11.937570374598401,6.657720618652883,7.953209053651174,0.669130234264755,4.23395659710025
CV,3.643763488738165,3.5192696222094253,3.2030301066107003,4.040263126389927,2.527212013012812,2.40470080788736,4.0982060143755294,5.217116644391359,6.738639341951008,4.31592083522004,3.0685019123975468,3.106823591308841,5.850112251028823,3.57700959251382,4.196829350655881,3.7279858750224006,3.0105470128559864,2.81926502296948,4.093261185188971,3.1157161906055086,3.0538133812060946,4.260333122788821,3.6374403007455474,2.766693310487812,3.251613067589976,4.470687446988495,2.411152619017431,2.7710425598923796,4.238318559730756,3.7653120449443818,3.772654093086301,2.5415456759614106,3.079585535581656,5.292282749662174,4.85219266314988,4.980271931211981,4.854539668095718
SP_Tim,91.0,69.0,85.0,94.0,122.0,80.0,91.0,74.0,84.0,21.0,119.0,155.0,89.0,80.0,90.0,53.0,86.0,76.0,31.0,98.0,102.0,72.0,90.0,86.0,127.0,61.0,87.0,110.0,62.0,59.0,67.0,106.0,87.0,108.0,364.0,95.0,43.0
SP_Mag,18.0,34.0,16.0,279.0,23.0,8.9,10.0,37.0,3.5,10.0,0.85,0.33,30.0,5.0,12.0,19.0,102.0,83.0,126.0,28.0,12.0,39.0,1.3,20.7,19.2,78.2,115.0,58.6,21.8,17.0,31.8,31.4,138.0,107.0,32.4,6.68,24.0
SP_Dur,44.0,51.0,63.0,38.0,32.0,56.0,54.0,29.0,44.0,111.0,56.0,89.0,49.0,49.0,37.0,104.0,45.0,48.0,34.0,61.0,49.0,41.0,64.0,40.0,42.0,56.0,33.0,50.0,72.0,51.0,86.0,73.0,42.0,58.0,68.0,11.0,104.0
SP_ROC,0.07692307692307697,0.05971479500891257,0.1333333333333333,0.08333333333333333,0.06250000000000007,0.0669642857142857,0.09985785358919697,0.06250000000000007,0.0871212121212121,0.16228070175438591,0.07750000000000001,0.75,0.11764705882352935,0.12499999999999993,0.1111111111111112,0.15780141843971626,0.08220720720720724,0.06711711711711714,0.0747728860936408,0.0612244897959185,0.11805555555555555,0.07571428571428579,0.1666666666666666,0.05263157894736836,0.0701754385964911,0.061946902654867124,0.07000000000000002,0.050179211469534094,0.0686868686868686,0.0540540540540541,0.0756578947368421,0.06417112299465245,0.06814831874712116,0.06315789473684205,0.03713553979511424,0.11111111111111106,0.10771632471008022
DS_Tim,135.0,120.0,148.0,132.0,154.0,136.0,145.0,103.0,128.0,132.0,175.0,244.0,138.0,129.0,127.0,157.0,131.0,124.0,65.0,159.0,151.0,113.0,154.0,126.0,169.0,117.0,120.0,160.0,134.0,110.0,153.0,179.0,129.0,166.0,67.0,106.0,147.0
DS_Mag_10,0.0,0.0,0.0,0.0,0.04600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
DS_Mag_50,0.04,0.03,0.0,0.18,0.13,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.06,0.16,0.09,0.05,0.0,0.01,0.0,0.0,0.055,0.05,0.0,0.0,0.02,0.0,0.06,0.0,0.0,0.0,0.0
