Year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
Avg,0.4334972677595628,0.47912328767123297,8.142328767123287,2.719671232876712,6.6345081967213115,1.4425205479452057,15.289287671232877,14.813342465753424,4.1993715846994535,1.9171506849315068,11.597972602739727
Std,1.0853902165229252,1.3994086025371377,21.063410547485233,9.543131240034107,24.4443450086151,5.3961056178153965,64.77931327195232,29.271454415905666,12.171372503604006,7.307393560533532,44.944133245062524
CV,2.5037994406113113,2.920769327116052,2.586902488208789,3.508928257457035,3.684424569811396,3.740747835794689,4.236908524772935,1.9760195569350787,2.898379497530249,3.8115906162037545,3.875171530793719
SP_Tim,105.0,80.0,110.0,117.0,69.0,89.0,105.0,118.0,81.0,91.0,78.0
SP_Mag,1.6,6.6,52.0,4.8,57.0,29.0,150.0,32.0,17.0,18.0,167.0
SP_Dur,146.0,18.0,34.0,14.0,79.0,52.0,26.0,32.0,47.0,137.0,21.0
SP_ROC,0.1666666666666666,0.2739130434782609,0.09677419354838718,0.15025641025641023,0.09000000000000004,0.09090909090909098,0.11764705882352938,0.11940298507462684,0.0871212121212121,0.18181818181818185,0.09523809523809523
SU_BFL_Tim,251.0,98.0,144.0,131.0,148.0,141.0,131.0,150.0,128.0,228.0,99.0
SU_BFL_Mag_10,0.07,0.05,0.09,0.03,0.12,0.14,0.16,0.19,0.06,0.03,0.09
SU_BFL_Mag_50,0.15,0.12,0.17,0.18,0.28500000000000003,0.2,0.76,0.54,0.09,0.3,0.46
SU_BFL_Dur_Fl,24.0,212.0,181.0,168.0,138.0,141.0,168.0,156.0,156.0,67.0,195.0
SU_BFL_Dur_Wet,105.0,260.0,225.0,230.0,230.0,205.0,224.0,169.0,189.0,169.0,297.0
SU_BFL_No_Flow,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,282.0,275.0,308.0,324.0,298.0,286.0,280.0,298.0,305.0,284.0,293.0
FAFL_Mag,8.854970350401766,3.19909569087056,1.7672408633793308,1.2378523009354176,7.776605881317063,1.6012127952811162,1.6073915766399178,14.00893433647858,4.046993222350954,1.1141567948941067,2.5835493835778376
FAFL_Tim_Wet,nan,356.0,356.0,3.0,360.0,13.0,344.0,354.0,318.0,317.0,30.0
FAFL_Dur,2.0,-1.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0
Wet_BFL_Mag,nan,0.15,1.52,0.54,1.3,0.567,3.5200000000000005,2.9,1.6400000000000001,0.11,5.26
WIN_Tim_2,-99999,-99999,105110129154158,144,102139141,118,079089095136180191,060081113115117120128134147162166172,069084,130,062108136158160163165
WIN_Dur_2,nan,nan,2.0,1.0,3.0,1.0,2.5,2.0,1.5,1.0,1.0
WIN_Fre_2,0.0,0.0,5.0,1.0,3.0,1.0,6.0,12.0,2.0,1.0,7.0
WIN_Mag_2,nan,nan,88.0,131.0,155.0,63.0,323.0,108.0,113.0,116.0,94.0
WIN_Tim_5,-99999,-99999,077083096100105129134152158171187196,099106135142,084102110138149156,118175,040043057079089095111117119136151167179191,048059081102113128134140147204,047054063069084090137,071130136176,054059061107122124135157
WIN_Dur_5,nan,nan,2.0,3.0,2.0,2.0,1.5,2.5,1.0,1.0,1.5
WIN_Fre_5,0.0,0.0,12.0,4.0,6.0,2.0,14.0,10.0,7.0,4.0,8.0
WIN_Mag_5,nan,nan,55.5,47.0,58.0,46.0,49.5,92.5,33.0,36.0,56.5
WIN_Tim_10,-99999,090094,051075077082096100104127152171181185187196,099105135140148150177,033083100137187,063113118163165171175,040051057079087089111117135151161164166179191,024048058081101109113204208211216,040047050054063069084135137164166,043057070130135156176,054058095107120134
WIN_Dur_10,nan,1.0,2.0,2.0,4.0,1.0,4.0,2.0,2.0,2.0,4.5
WIN_Fre_10,0.0,2.0,14.0,7.0,5.0,7.0,15.0,11.0,11.0,7.0,6.0
WIN_Mag_10,nan,13.5,43.0,45.0,59.0,16.0,34.0,35.0,27.0,28.0,56.5
WIN_Tim_20,008029151,090165353,051074077082095127,099105135166176186204,024033064083090100136186,063113117163168175,039047051054056078178215,024029034036046058077081101227,031038063068107131135164,042046054057062070129135155160176,054090095106120196214358360
WIN_Dur_20,3.0,2.0,2.5,5.0,6.0,3.5,3.5,1.5,6.0,3.0,3.0
WIN_Fre_20,3.0,3.0,6.0,7.0,8.0,6.0,8.0,10.0,8.0,11.0,9.0
WIN_Mag_20,9.0,8.0,43.5,24.0,19.0,17.5,23.0,9.5,22.0,14.0,6.7
WIN_Tim_50,005008024040046072081100121136140151167189199212319322363,000025041044061071089103117127136142165174212218352362,027034051071074257263269279343,050077098224228230,006018024033046052063079267277285322325,011063081229,006009026033035039051291295298352358,023297329336341364,000029232242,009015036119124129286,019028039049051079089254275289296349353358
WIN_Dur_50,1.0,2.0,2.0,2.5,4.0,3.0,2.0,3.0,2.5,2.0,2.5
WIN_Fre_50,19.0,18.0,10.0,6.0,13.0,4.0,12.0,6.0,4.0,7.0,14.0
WIN_Mag_50,1.2,1.9500000000000002,0.9650000000000001,1.28,0.87,10.5,1.15,0.645,1.2,1.4,1.115
