Year,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,13.385655737704914,5.972630136986301,19.654547945205483,2.124493150684932,0.3227868852459017,1.7746575342465754,0.824082191780822,3.331260273972603,6.058224043715848,15.102000000000002,0.8078082191780821,20.43183561643836,13.654426229508195,22.483506849315077,28.646136986301368,11.19895890410959,12.45860655737705,2.3530136986301367,5.642246575342464,1.9793972602739724,2.8722131147540986,15.305561643835619,20.531726027397266,2.502794520547945,4.079453551912567,2.626904109589041,6.673452054794523,17.495424657534247,2.456666666666666,3.2176712328767128,0.1350958904109589,2.2877808219178086
Std,47.2313717751376,31.03323493196695,101.11420273191456,11.994761645605323,0.7545562104977208,10.26433272320126,1.9083810951179048,19.40435619925588,36.28427042368791,44.80083550590768,3.0012906112342965,67.26339545297567,48.27474941086402,83.07107243093287,95.73206533209424,44.954892400015176,53.35491722719296,8.691934394618974,20.71949347226953,6.730140642019478,13.159413002357054,50.028475940793236,65.55088860379284,12.019857172081132,17.107305320529296,16.96635348828484,21.504162352769672,53.15888639121321,13.215869779378915,17.842484601888398,0.4930478918743507,20.32035626254846
CV,3.5285063877816283,5.1959077023352815,5.144570254874791,5.645940370171701,2.337629702405331,5.783838585825487,2.315765483287461,5.824929487156446,5.989258594905436,2.9665498282285574,3.7153504259810686,3.292087735810637,3.535465247638076,3.6947560266143937,3.341883946790922,4.014202818756522,4.282575020045094,3.6939582628351,3.6722063092416217,3.4000959671369584,4.5816283390529975,3.2686468556312294,3.1926633209659343,4.802574511570207,4.19352864368535,6.458687786262248,3.2223446240720452,3.038445046735165,5.379594211416113,5.545154650848707,3.6496142878551616,8.882125450074472
SP_Tim,87.0,92.0,71.0,86.0,118.0,90.0,74.0,89.0,70.0,90.0,55.0,86.0,76.0,31.0,127.0,56.0,62.0,69.0,88.0,123.0,61.0,87.0,98.0,61.0,60.0,68.0,135.0,89.0,109.0,365.0,,43.0
SP_Mag,27.0,56.0,282.0,26.0,3.5,16.0,7.2,249.0,89.0,169.0,42.0,364.0,79.0,449.0,26.0,171.0,340.0,107.0,17.9,6.23,203.0,495.0,600.0,158.0,36.3,276.0,7.55,219.0,57.2,104.0,,356.0
SP_Dur,42.0,29.0,20.0,41.0,46.0,47.0,106.0,22.0,25.0,34.0,95.0,71.0,25.0,36.0,49.0,82.0,104.0,66.0,44.0,39.0,52.0,30.0,52.0,78.0,35.0,71.0,30.0,37.0,29.0,35.0,,82.0
SP_ROC,0.05703751897636086,0.07352941176470587,0.1328976034858388,0.08333333333333323,0.16387959866220736,0.08333333333333323,0.093808925204274,0.0944940476190477,0.08333333333333341,0.07692307692307689,0.09677419354838718,0.11805555555555555,0.08284313725490197,0.08953089244851252,0.08000000000000007,0.0845238095238095,0.08000000000000007,0.11111111111111108,0.08551724137931035,0.1062217923920052,0.0673211781206171,0.10910118711136237,0.0676232347791034,0.08794998105342927,0.06363636363636369,0.09665544332211001,0.1146739130434782,0.05515873015873022,0.10344827586206894,0.07980647615004298,,0.1055045871559634
DS_Tim,129.0,121.0,91.0,127.0,164.0,137.0,180.0,111.0,95.0,124.0,150.0,157.0,101.0,67.0,176.0,138.0,166.0,135.0,132.0,162.0,113.0,117.0,150.0,139.0,95.0,139.0,165.0,126.0,138.0,35.0,,125.0
DS_Mag_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
DS_Mag_50,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.12,0.0,0.015,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.09,0.0,,,0.0
