Year,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986
Avg,2755.6967213114754,1501.7369863013696,1118.9616438356163,638.1643835616437,2478.986338797815,1095.0328767123287,2129.8794520547945,704.1945205479452,919.3661202185792,622.0383561643836,1053.3260273972605,1873.9534246575345,728.0382513661203,2230.832876712329,800.4246575342465,1922.580821917808,915.174863387978,2148.945205479452,1724.1945205479446,1911.9205479452053,978.1311475409835,1395.2657534246575,2348.8246575342464,1414.8931506849317,472.86612021857917,208.3013698630137,1695.8602739726032,862.7506849315068,1698.2622950819668,676.0630136986301,3018.6356164383556,3022.446575342465,1919.9180327868853,793.7698630136987,2146.5095890410958
Std,3348.165585073596,1864.1939451329547,1527.9059135694795,660.7697631000981,4334.916872578193,1761.602360248036,2385.9110816578604,767.0876879900146,1692.7144486752038,546.6420317333564,1322.7356792903788,3591.069261226609,591.9439113338765,4452.931273693115,896.0105784265497,2073.2608204876656,1185.1072820505508,2839.4973580393817,2957.7414722988,1826.9310584467896,1023.57631596457,1362.882631176074,2658.9808011269793,1526.090760898916,320.60637749321035,87.75558912559934,1791.1282538033195,949.6094717308272,3238.4306176954783,683.1543830626917,3978.7079552603527,3024.8163382298962,2196.941252650675,711.9787642448317,5248.401496298317
CV,1.21499784761516,1.2413584816368417,1.3654676386690692,1.0354225026039403,1.7486650913455266,1.608720977891533,1.1202094462933383,1.089312207929609,1.84117557896604,0.8787915187482386,1.255770430888167,1.9163065708972349,0.813067047264521,1.9960846552770841,1.119419010886997,1.078373817554027,1.2949517403300201,1.3213447000878094,1.7154337501077526,0.9555475829841588,1.046461222033298,0.9767907137625218,1.1320473806326303,1.0785908180841466,0.6780066572437293,0.42129146430150943,1.0561767860789308,1.1006765782008228,1.9069083892833965,1.0104892136093435,1.318048436715516,1.0007840545162199,1.144289086894857,0.8969586745730915,2.4450864431697785
SP_Tim,122.0,127.0,113.0,145.0,364.0,146.0,130.0,120.0,92.0,144.0,129.0,109.0,138.0,365.0,134.0,174.0,60.0,137.0,26.0,140.0,101.0,140.0,94.0,156.0,127.0,152.0,139.0,143.0,57.0,120.0,111.0,166.0,364.0,110.0,56.0
SP_Mag,13200.0,3970.0,4040.0,2640.0,26000.0,4110.0,6500.0,1950.0,4200.0,1710.0,3560.0,6650.0,2300.0,19500.0,2640.0,4360.0,5440.0,7440.0,20600.0,5400.0,4590.0,4650.0,14000.0,5260.0,1120.0,502.0,4250.0,3700.0,7790.0,2040.0,7320.0,7220.0,17000.0,3440.0,12900.0
SP_Dur,106.0,96.0,88.0,73.0,196.0,54.0,89.0,87.0,107.0,71.0,80.0,87.0,95.0,193.0,70.0,54.0,135.0,80.0,168.0,85.0,106.0,77.0,119.0,65.0,121.0,99.0,82.0,54.0,152.0,88.0,100.0,59.0,196.0,87.0,79.0
SP_ROC,0.03942652329749104,0.04332396780580816,0.03858560794044665,0.033426183844011144,0.05739650703679481,0.03514376996805112,0.04708520179372197,0.033816425120772944,0.044075113317504855,0.04,0.04736842105263158,0.04979846010927241,0.03169643754144145,0.04950980392156863,0.035181632526765275,0.04262295081967213,0.04518728222996515,0.03870967741935484,0.042735042735042736,0.04113110539845758,0.037102473498233215,0.035164835164835165,0.05016722408026756,0.041431261770244816,0.03225806451612903,0.02114687122191187,0.03844658079771016,0.03746397694524496,0.03757567809761109,0.03454926624737946,0.03535353535353535,0.03712105790611005,0.035441240716470084,0.03225806451612903,0.049855426041384286
DS_Tim,228.0,223.0,201.0,218.0,195.0,200.0,219.0,207.0,199.0,215.0,209.0,196.0,233.0,193.0,204.0,228.0,195.0,217.0,194.0,225.0,207.0,217.0,213.0,221.0,248.0,251.0,221.0,197.0,209.0,208.0,211.0,225.0,195.0,197.0,135.0
DS_Mag_10,227.0,185.0,151.0,115.2,201.0,156.0,210.0,111.4,124.0,119.0,137.0,193.0,123.0,213.0,113.0,241.6,137.0,193.5,156.0,238.4,156.2,173.0,206.6,260.5,118.0,67.70000000000002,186.0,141.0,188.0,115.4,271.0,391.0,233.6,160.0,192.4
DS_Mag_50,269.0,263.0,221.0,135.0,283.5,274.0,248.0,145.0,131.0,146.0,147.0,230.0,138.5,322.5,123.0,271.5,197.5,262.0,180.0,294.0,209.5,206.5,311.0,283.5,144.0,113.0,219.0,280.0,229.0,135.0,369.0,432.0,275.0,232.0,347.5
DS_Dur_WSI,91.0,70.0,116.0,108.0,106.0,80.0,96.0,,,88.0,,89.0,74.0,127.0,,49.0,91.0,64.0,104.0,92.0,78.0,81.0,114.0,,71.0,54.0,105.0,97.0,104.0,78.0,89.0,,90.0,101.0,162.0
DS_Dur_WS,134.0,157.0,219.0,127.0,212.0,189.0,139.0,178.0,115.0,183.0,70.0,110.0,100.0,222.0,111.0,144.0,174.0,126.0,121.0,157.0,132.0,90.0,183.0,56.0,101.0,94.0,184.0,166.0,123.0,105.0,108.0,81.0,109.0,197.0,258.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSI_Tim,316.0,319.0,291.0,316.0,325.0,301.0,278.0,314.0,,,301.0,,284.0,307.0,318.0,,276.0,286.0,279.0,297.0,316.0,285.0,296.0,326.0,,319.0,303.0,325.0,293.0,313.0,284.0,299.0,,285.0,296.0
WSI_Mag,1259.944377122383,764.9925670291983,447.9955889383365,424.03705689047234,1069.9675660989317,507.00963117458053,455.9896919377362,374.9840543794989,,,229.99851652009846,,487.9856365505873,435.9856040527133,923.9426952247632,,824.9841190323872,745.9939551888029,429.99988684598054,550.9886672862085,640.9804737578427,943.9902513532953,1219.9797095683032,655.9854014983401,,340.99764070816485,149.99874075645306,414.0033786558346,836.9887348999216,361.99359368110726,383.0120084967096,3719.9234097101184,,511.9925318327152,358.99908140816774
Wet_Tim,22.0,362.0,13.0,54.0,344.0,42.0,22.0,357.0,19.0,314.0,31.0,278.0,305.0,333.0,48.0,314.0,6.0,4.0,341.0,314.0,16.0,339.0,305.0,30.0,276.0,349.0,343.0,39.0,362.0,332.0,311.0,318.0,305.0,304.0,27.0
WSI_Dur,4.0,6.0,10.0,5.0,6.0,2.0,3.0,9.0,,,3.0,,7.0,2.0,3.0,,5.0,3.0,3.0,5.0,4.0,5.0,5.0,2.0,,7.0,5.0,3.0,2.0,4.0,2.0,2.0,,2.0,3.0
Wet_BFL_Mag,722.5,594.5,372.0,207.1,932.5,420.70000000000016,538.4000000000002,218.2,300.1,245.0,299.0,498.0,220.6,727.0,235.0,481.8,325.0,621.6,557.7,565.0,332.0,364.2,753.8,539.0,135.0,158.60000000000005,437.60000000000014,372.7,674.2,225.0,896.8000000000003,970.0,767.4000000000003,359.0,1614.0
Peak_Tim_2,100104111208.0,159.0,-99999.0,79106216.0,146230.0,138141146.0,-99999.0,130.0,-99999.0,-99999.0,11122187.0,-99999.0,81096202.0,-99999.0,120167233.0,143.0,111116181.0,81084105.0,176.0,-99999.0,107.0,41106178.0,-99999.0,-99999.0,-99999.0,106155.0,-99999.0,103139.0,-99999.0,4.605207909013719e+16,8.111511713213414e+22,47054070085.0,-99999.0,136157.0,
Peak_Dur_2,1.0,1.5,2.0,,3.0,2.5,1.0,,2.0,,,4.0,,2.0,,3.0,3.0,4.0,1.0,3.0,,1.0,7.0,,,,2.5,,6.0,,4.5,2.5,1.5,,9.0
