Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
Avg,133.85506849315067,146.35573770491803,77.55616438356165,65.53123287671234,37.31506849315068,140.39207650273227,64.06328767123287,128.7109589041096,35.42821917808219,66.45327868852459,53.38575342465753,77.55561643835617,128.9917808219178,51.419398907103826,150.27616438356162,50.78520547945205,122.28383561643835,59.22021857923497,135.06794520547945,5.4
Std,259.7250695150246,185.43782398809418,134.38023785145668,118.17000551150704,45.39114351860741,335.6878463440698,124.61538206307223,176.46069620331875,61.9786109668216,183.65190605746466,63.89626665874542,161.46220034326453,277.23150602419827,56.10258637044191,449.2157012547326,66.09343987734933,187.74352641653306,112.77283625356566,296.267055181957,0.0
CV,1.9403454231418562,1.2670348760905659,1.7326828746566938,1.8032623578718112,1.216429323369435,2.3910740171831333,1.9451918031835542,1.3709842402369403,1.7494136709294414,2.7636244543819384,1.1968786157325888,2.08188920104323,2.1492183785487526,1.0910782226723208,2.989267813012343,1.3014309827709776,1.5353094337457558,1.904296183957491,2.1934668120644365,0.0
SP_Tim,72.0,121.0,25.0,122.0,132.0,364.0,146.0,108.0,94.0,94.0,121.0,85.0,109.0,130.0,365.0,105.0,134.0,80.0,30.0,nan
SP_Mag,205.0,540.0,1140.0,187.0,250.0,1100.0,400.0,382.0,139.0,306.0,97.0,205.0,712.0,85.0,1300.0,300.0,407.0,227.0,2060.0,nan
SP_Dur,98.0,78.0,174.0,29.0,73.0,169.0,48.0,81.0,76.0,91.0,80.0,78.0,63.0,83.0,150.0,75.0,69.0,68.0,127.0,nan
SP_ROC,0.05,0.052083333333333336,0.05,0.05173951828724353,0.06186224489795925,0.06870229007633588,0.06779661016949153,0.06316239316239317,0.06316489361702127,0.05607966457023061,0.057721139430284854,0.05084745762711865,0.052980132450331126,0.062499999999999986,0.05454545454545454,0.05263157894736842,0.05405405405405406,0.040270270270270275,0.06896551724137931,nan
SU_BFL_Tim,170.0,199.0,199.0,151.0,205.0,168.0,194.0,189.0,170.0,185.0,201.0,163.0,172.0,213.0,150.0,180.0,203.0,148.0,157.0,nan
SU_BFL_Mag_10,3.8,5.5,5.1,4.8,2.2,5.2,4.16,4.7,2.2,5.0,5.0,nan,7.8,4.8,6.9,4.0,10.0,4.3,nan,nan
SU_BFL_Mag_50,7.5,6.9,9.95,6.4,3.9,9.5,8.6,6.3,4.1,6.1,6.9,nan,10.0,5.6,11.0,5.300000000000001,16.0,9.0,nan,nan
