Year,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
Avg,14.264383561643832,2.2622131147540983,26.78753424657534,29.091534246575346,15.604301369863013,0.6846174863387978,0.2889315068493151,34.891999999999996,12.489972602739725,27.960218579234976
Std,46.867876985342036,6.60311664850075,77.07827469226655,68.70488797870671,50.77302749443125,2.540064484599503,1.463325433413843,96.70779590113092,54.41653652014767,94.20019606824863
CV,3.2856573705271965,2.9188747096528567,2.877393416757671,2.361679772416769,3.2537840875395103,3.71019516048776,5.064610119439148,2.771632348421728,4.3568179251419,3.3690793868903315
SP_Tim,89.0,108.0,85.0,93.0,88.0,104.0,126.0,100.0,90.0,54.0
SP_Mag,166.0,7.6,57.0,392.0,270.0,5.1,4.6,95.0,42.0,731.0
SP_Dur,31.0,24.0,32.0,44.0,39.0,138.0,14.0,35.0,61.0,83.0
SP_ROC,0.08758503401360546,0.09259259259259267,0.09000000000000004,0.07954545454545467,0.10989010989010987,0.2849898580121704,0.3666666666666667,0.1,0.1250000000000001,0.13232323232323234
DS_Tim,120.0,132.0,117.0,137.0,127.0,242.0,140.0,135.0,151.0,137.0
DS_Mag_10,0.0,0.0,0.0,0.01,,0.0,0.0,0.02,0.01,0.03
DS_Mag_50,0.02,0.01,0.1,0.15,,0.02,0.0,0.16,0.12,0.275
DS_Dur_WSI,198.0,159.0,,164.0,,33.0,,182.0,142.0,156.0
DS_Dur_WS,218.0,180.0,190.0,254.0,,104.0,181.0,230.0,200.0,214.0
DS_No_Flow,42.0,80.0,22.0,0.0,,29.0,149.0,0.0,5.0,0.0
WSI_Tim,310.0,317.0,291.0,,300.0,283.0,275.0,,316.0,292.0
WSI_Mag,17.987207336195613,3.56722314946832,13.995468466489625,,2.694334824460399,11.950528468071713,1.3752028203237998,,7.482792923543903,5.100753366463403
Wet_Tim,323.0,337.0,312.0,305.0,25.0,,346.0,319.0,364.0,350.0
WSI_Dur,8.0,15.0,3.0,,5.0,3.0,9.0,,10.0,6.0
Wet_BFL_Mag,3.1,0.54,3.7,8.98,3.9500000000000006,,0.06,1.0,1.6200000000000003,2.6100000000000003
Peak_Tim_2,-99999.0,4.310010210712813e+16,41046107151178.0,131134171175.0,-99999.0,-99999.0,5.1074082096100085e+28,102105135142.0,83102107138.0,
Peak_Dur_2,2.0,,2.0,2.0,2.0,,,1.0,1.0,3.0
Peak_Fre_2,2.0,0.0,6.0,5.0,4.0,0.0,,10.0,4.0,4.0
Peak_Mag_2,176.1999999999971,176.1999999999971,176.1999999999971,176.1999999999971,176.1999999999971,176.1999999999971,,176.1999999999971,176.1999999999971,176.1999999999971
Peak_Tim_5,-99999.0,4.307710010210713e+31,4.004606008108609e+31,1.2613013414115716e+20,-99999.0,-99999.0,5.1074077082095135e+28,1.0210513513814014e+20,8.309110213814914e+19,
Peak_Dur_5,1.0,,1.0,2.0,1.0,,,2.0,2.0,3.0
Peak_Fre_5,7.0,0.0,11.0,11.0,7.0,0.0,,10.0,7.0,7.0
Peak_Mag_5,76.04999999999973,76.04999999999973,76.04999999999973,76.04999999999973,76.04999999999973,76.04999999999973,,76.04999999999973,76.04999999999973,76.04999999999973
Peak_Tim_10,118127.0,4.307710012014617e+16,3.5039060071073075e+40,8.812312914115715e+19,-99999.0,-99999.0,5.107408209512716e+28,99101135177.0,2.4083090102137188e+16,
Peak_Dur_10,3.5,1.5,10.0,4.0,5.0,,,2.5,4.5,3.5
Peak_Fre_10,6.0,2.0,6.0,14.0,7.0,0.0,,10.0,4.0,6.0
Peak_Mag_10,36.0,36.0,36.0,36.0,36.0,36.0,,36.0,36.0,36.0
Peak_Tim_20,85114127151.0,1.60400430660761e+16,35134138141.0,8.80971221521562e+16,9029151190.0,93166.0,51074.0,4.907709813517721e+19,2.4033081083100135e+22,
Peak_Dur_20,5.0,4.0,5.0,35.0,2.5,1.0,,70.5,2.0,3.0
Peak_Fre_20,5.0,4.0,6.0,4.0,6.0,4.0,,2.0,7.0,8.0
Peak_Mag_20,11.0,11.0,11.0,11.0,11.0,11.0,,11.0,11.0,11.0
